day,A,E,H,I,R,S,V,R_t
86.0,0.73002636,2.7553415,13.507505,2.7629797,58.245483,10610.057,864.78516,2.6413950145892904
87.0,0.72155106,2.751766,14.109095,2.8033507,58.850285,10606.804,866.8039,2.6405850726531273
88.0,0.71836853,2.8327394,14.207306,2.8701582,59.84348,10578.179,875.9372,2.6376267744954363
89.0,0.72912836,2.7843378,14.185387,2.8575022,59.28032,10562.485,910.522,2.6295518492591996
90.0,0.7450527,2.7715456,13.974855,2.881691,60.59302,10564.005,893.0682,2.63330467478282
91.0,0.74436474,2.8667772,14.463042,2.8823237,60.477577,10561.133,907.8264,2.6297729811422856
92.0,0.7552651,2.8537598,14.785681,2.9027727,60.251003,10555.019,910.62164,2.6289799068684916
93.0,0.76179135,2.8994875,14.714608,2.9370015,60.79486,10534.975,925.2127,2.6250999806668185
94.0,0.77727246,2.8911917,14.698341,2.9699876,61.120544,10520.463,940.96497,2.621122857670031
95.0,0.7750262,2.9546127,15.156401,2.9944096,61.419838,10509.453,949.4347,2.6187648172147457
96.0,0.77008194,2.95369,15.180639,3.0105028,62.532124,10494.825,973.57117,2.6127078534161976
97.0,0.7862493,2.9598646,15.692288,3.0354495,62.926224,10488.201,979.24194,2.6110588367210683
98.0,0.7830867,2.984703,15.365092,3.0403547,62.03108,10492.396,976.2434,2.6121030383050976
99.0,0.8006456,3.001595,15.497002,3.0861645,63.0507,10478.363,976.151,2.611524095946536
100.0,0.7927068,3.0580094,15.984227,3.0996506,63.83424,10455.089,1001.72754,2.6049029186080066
101.0,0.80835265,3.0439887,15.825189,3.1279275,62.54817,10454.825,1012.66547,2.6027495729936954
102.0,0.8268342,3.1120672,15.775996,3.1690497,63.91136,10433.775,1005.7605,2.6034840229354312
103.0,0.8173595,3.1050584,15.85137,3.137729,64.29572,10426.551,1034.3268,2.5967804101178773
104.0,0.81746405,3.1520658,16.2516,3.197814,64.72767,10415.3545,1040.6182,2.5948829880893407
105.0,0.83508587,3.1872098,16.54393,3.1810083,64.71902,10403.73,1060.6472,2.5900295175769377
106.0,0.83165705,3.1946583,16.905363,3.2778478,65.69169,10402.333,1057.2839,2.590427336969525
107.0,0.8444992,3.188396,16.77402,3.2864814,66.29363,10389.898,1072.5582,2.5865860602075763
108.0,0.8506944,3.2512462,17.061115,3.3012068,65.87927,10368.272,1084.0754,2.5834725003231163
109.0,0.86066574,3.2328498,16.905022,3.3226547,66.300415,10365.456,1089.2284,2.582185823803039
110.0,0.8664675,3.2611532,17.500622,3.3020334,67.46694,10355.696,1095.8811,2.5800520648656495
111.0,0.88167256,3.2714276,17.173477,3.3723257,68.12695,10336.033,1115.11,2.5751543808438067
112.0,0.87599164,3.3010666,17.461798,3.3940115,68.98527,10340.524,1104.3346,2.577410199854433
113.0,0.8683243,3.3284094,17.733131,3.4668317,68.87518,10316.29,1126.2434,2.571831475926177
114.0,0.89285415,3.3767354,17.75628,3.4287584,68.85528,10308.883,1149.6514,2.5664169704668103
115.0,0.90694463,3.3921626,18.237076,3.5009909,70.31949,10293.999,1162.4878,2.562711756268819
116.0,0.90779185,3.4267185,18.062887,3.4781108,69.94758,10299.004,1158.0164,2.5639577604025416
117.0,0.88904595,3.4334931,18.412016,3.5130234,70.1909,10280.394,1176.0114,2.5593246675095345
118.0,0.92292136,3.465504,18.55116,3.589855,70.778984,10269.587,1168.2985,2.5605461472701965
119.0,0.92512065,3.5363662,19.044956,3.5453238,71.00837,10270.869,1183.914,2.55695358327998
120.0,0.9285883,3.4671688,18.965385,3.596505,71.60806,10245.057,1190.7428,2.554613457919227
121.0,0.94170785,3.562854,18.761951,3.6156409,71.77455,10239.612,1203.7793,2.551556290467041
122.0,0.9488706,3.540902,19.407555,3.6821327,71.996666,10235.052,1218.2163,2.5480365586134575
123.0,0.94262505,3.6090522,19.243904,3.7190175,72.64637,10213.448,1234.0317,2.5438040148137593
124.0,0.96477807,3.6342282,19.547813,3.719575,73.87802,10203.848,1247.252,2.5402682719732916
125.0,0.9691779,3.6639698,19.927427,3.7630994,73.843376,10196.147,1248.8252,2.5396052454091316
126.0,0.955848,3.6921887,20.168858,3.7162287,74.07731,10179.393,1270.841,2.5341801474167425
127.0,0.97927046,3.697262,20.541872,3.7977097,75.049324,10156.787,1276.4304,2.531962872155318
128.0,0.97988355,3.6698217,20.560108,3.8416634,75.19496,10160.749,1283.1559,2.530566678613436
129.0,0.99286574,3.7849548,20.488264,3.7970388,75.17938,10148.89,1285.5905,2.5296784743369276
130.0,1.0020144,3.7970526,20.45737,3.8385038,76.760414,10135.976,1311.0127,2.523371469194419
131.0,0.9961143,3.80757,20.75929,3.8916886,76.79171,10141.864,1304.7329,2.5248374867600187
132.0,1.0102705,3.8803973,20.823524,3.9765437,77.19417,10109.93,1309.0504,2.5227785769166884
133.0,1.0223674,3.7943878,21.504236,3.9766688,77.822296,10106.738,1337.9849,2.5160929002548906
134.0,1.0329565,3.8719156,21.506496,3.9323902,78.4477,10087.141,1341.9604,2.5144680044408805
