week,S,I,C,P,R,R_t
237.0,194.56862,0.85200125,26.241095,0.0,3100.161,0.8184222944578232
238.0,220.76233,3.3160505,21.91186,0.0,3066.7578,0.9311457203229545
239.0,216.40254,1.3512299,20.010933,0.0,3085.3105,0.9099201311663264
240.0,178.4847,1.2875723,25.01365,0.0,3073.0112,0.7608516744930465
241.0,234.81435,0.0,17.612228,0.0,3080.5046,0.984417596333994
242.0,206.95448,0.0,20.847052,0.0,3051.3992,0.8818362169188437
243.0,183.39981,0.0,17.722387,0.0,3053.937,0.7872652496732782
244.0,238.96259,0.0,23.096964,0.0,3095.6582,0.9944130453932049
245.0,191.52774,2.7324877,15.808331,0.0,3055.712,0.8194562815492937
246.0,220.77872,0.0,23.075346,0.0,3108.1577,0.9203070750871878
247.0,249.23354,3.8862116,21.373177,0.0,3080.8496,1.0378885192039002
248.0,180.94492,4.1563115,17.24761,0.0,3036.2507,0.7806749107521747
249.0,233.37164,0.17146537,16.930517,0.0,3116.8696,0.9683710250334236
250.0,195.38396,2.290752,18.604662,0.0,3107.0276,0.8214848058626725
