week,S,I,A,H,C,R_t
121.0,0.054335773,100.19096,0.5423876,0.0,442.3372,0.0014780260040937539
122.0,0.0,98.67924,0.5423876,0.0,442.8795,0.0
123.0,0.00046086003,97.54937,0.5423876,0.0,444.6448,1.2545140017991524e-05
124.0,0.025812782,95.81548,0.5423876,0.0,445.9303,0.0007032017423196049
125.0,0.0,94.23812,0.5423876,0.0,446.70383,0.0
126.0,0.098370455,92.86385,0.5423876,0.0,448.9048,0.002679374354269729
127.0,0.20674077,92.306435,0.5423876,0.0,449.7899,0.005626597394773375
128.0,0.0,90.46827,0.5423876,0.0,451.48032,0.0
129.0,0.0,89.48918,0.5423876,0.0,452.1661,0.0
130.0,0.0,87.63987,0.5423876,0.0,454.03925,0.0
131.0,0.21780731,87.30915,0.5423876,0.0,455.28354,0.005922245272055101
132.0,0.0,85.8363,0.5423876,0.0,456.79715,0.0
133.0,0.0,84.39351,0.5423876,0.0,457.26297,0.0
134.0,0.019646216,83.29885,0.5423876,0.0,458.3225,0.0005353386828224932
135.0,0.103929825,82.44478,0.5423876,0.0,459.69125,0.002828853127164453
136.0,0.0,80.71597,0.5423876,0.0,460.87122,0.0
137.0,0.0,80.0297,0.5423876,0.0,462.44522,0.0
138.0,0.0,78.80919,0.5423876,0.0,463.49295,0.0
139.0,0.20167668,77.478325,0.5423876,0.0,464.02997,0.005494778089859923
140.0,0.22877213,75.84547,0.5423876,0.0,465.45966,0.006235031280151535
141.0,0.07873944,75.017166,0.5423876,0.0,466.35147,0.002146333318985032
142.0,0.0,75.186615,0.5423876,0.0,468.26862,0.0
143.0,0.14434741,73.68811,0.5423876,0.0,468.66824,0.003927088041503678
144.0,0.0,72.54112,0.5423876,0.0,469.719,0.0
145.0,0.0,71.05727,0.5423876,0.0,470.90897,0.0
146.0,0.1665446,70.20674,0.5423876,0.0,471.8061,0.004533663060811778
147.0,0.0,68.93917,0.5423876,0.0,472.13217,0.0
148.0,0.08158868,68.481316,0.5423876,0.0,473.30005,0.0022222957677401024
149.0,0.0,66.899315,0.5423876,0.0,474.8685,0.0
150.0,0.0,66.05848,0.5423876,0.0,475.83066,0.0
151.0,0.019078996,65.48203,0.5423876,0.0,476.9054,0.0005191495524153698
152.0,0.0,64.06386,0.5423876,0.0,477.38998,0.0
153.0,0.0,63.390884,0.5423876,0.0,478.92435,0.0
154.0,0.10934417,62.77134,0.5423876,0.0,479.75757,0.0029740431678828335
155.0,0.0,61.79967,0.5423876,0.0,480.5162,0.0
156.0,0.0,60.893036,0.5423876,0.0,481.01825,0.0
157.0,0.084522285,59.918293,0.5423876,0.0,481.8313,0.0023023231548491667
158.0,0.19662738,58.502728,0.5423876,0.0,483.1248,0.00535607967435158
159.0,0.026434982,58.3728,0.5423876,0.0,484.32095,0.0007188944888564595
160.0,0.043404534,57.07897,0.5423876,0.0,484.31348,0.001183175509054977
161.0,0.19264008,56.988625,0.5423876,0.0,485.6073,0.00523815235172519
162.0,0.0,55.776745,0.5423876,0.0,485.5859,0.0
163.0,0.0,54.489063,0.5423876,0.0,486.36166,0.0
164.0,0.0,54.28455,0.5423876,0.0,488.1094,0.0
165.0,0.0,53.28072,0.5423876,0.0,488.02853,0.0
166.0,0.101300895,52.738476,0.5423876,0.0,489.23453,0.002758138393455303
167.0,0.0,51.796074,0.5423876,0.0,489.60873,0.0
168.0,0.0,50.84298,0.5423876,0.0,489.87775,0.0
169.0,0.0,50.654163,0.5423876,0.0,491.71994,0.0
170.0,0.0,49.580914,0.5423876,0.0,492.41733,0.0
171.0,0.0,48.936447,0.5423876,0.0,492.90762,0.0
172.0,0.04065678,48.08496,0.5423876,0.0,493.72192,0.0011074325166714719
173.0,0.10208016,47.60854,0.5423876,0.0,494.79984,0.002777123323071055
174.0,0.13337462,46.75831,0.5423876,0.0,494.47803,0.0036361371584840816
175.0,0.0,45.990555,0.5423876,0.0,495.15826,0.0
176.0,0.1509579,45.288548,0.5423876,0.0,496.72372,0.004109485389972034
177.0,0.1745497,45.3791,0.5423876,0.0,496.3076,0.004754364126851854
178.0,0.07274478,45.047718,0.5423876,0.0,497.89532,0.0019772050833079505
179.0,0.029447142,43.504272,0.5423876,0.0,498.17276,0.000802306697132969
180.0,0.0,42.84616,0.5423876,0.0,497.88672,0.0
181.0,0.0,42.789963,0.5423876,0.0,499.22263,0.0
182.0,0.04147452,41.923595,0.5423876,0.0,499.88553,0.001129700277616224
183.0,0.09260186,41.511665,0.5423876,0.0,500.89352,0.0025193218711740406
184.0,0.0,41.09178,0.5423876,0.0,501.1591,0.0
185.0,0.0,40.284767,0.5423876,0.0,501.65366,0.0
186.0,0.0,39.524117,0.5423876,0.0,501.7553,0.0
187.0,0.0,39.08748,0.5423876,0.0,503.21024,0.0
188.0,0.01710021,38.35834,0.5423876,0.0,503.705,0.0004655853398680087
189.0,0.0,37.841923,0.5423876,0.0,504.49854,0.0
190.0,0.15833737,37.23569,0.5423876,0.0,504.82935,0.004309897100491927
191.0,0.030218523,36.542698,0.5423876,0.0,505.58167,0.0008226436637145318
192.0,0.0,36.274315,0.5423876,0.0,505.639,0.0
193.0,0.0,35.924557,0.5423876,0.0,505.65646,0.0
194.0,0.043854155,35.092945,0.5423876,0.0,506.7159,0.001194513072816748
195.0,0.09426252,34.558086,0.5423876,0.0,507.2809,0.0025671704607129076
196.0,0.15631993,33.833847,0.5423876,0.0,507.85916,0.004257917348338606
197.0,0.035956208,33.63829,0.5423876,0.0,507.9712,0.0009797607518482973
198.0,0.0,33.03189,0.5423876,0.0,508.55545,0.0
199.0,0.0,33.227737,0.5423876,0.0,508.3322,0.0
200.0,0.0019841965,32.639458,0.5423876,0.0,509.03235,5.406399366774883e-05
201.0,0.0,31.698837,0.5423876,0.0,509.97363,0.0
202.0,0.0,31.39258,0.5423876,0.0,510.26382,0.0
203.0,0.24729939,30.413824,0.5423876,0.0,510.10156,0.006749581779662368
204.0,0.0017844555,30.588493,0.5423876,0.0,511.10312,4.8619833372347215e-05
205.0,0.0627822,30.438318,0.5423876,0.0,511.42606,0.0017098463153370673
