week,S,I,P,C,E,Q,D,A,W,R,R_t
50.0,291.05383,3.614715,0.0,298.90906,4.8513765,57.30411,0.0,0.009823602,0.354279,2614.1912,1.595485480559289
51.0,285.69348,2.7032204,0.0,293.78076,1.52235,54.0432,0.0,0.001414507,0.5319884,2621.1548,1.5714042832680128
52.0,314.59448,1.9904257,0.0,288.8671,4.698611,50.216064,0.0,0.007770626,0.0,2626.6772,1.7155488847834954
53.0,307.94696,2.1343687,0.0,288.4615,0.0,48.665413,0.0,0.00037403847,1.0742998,2611.5393,1.6938840828128385
54.0,328.04355,0.0,0.0,284.76523,4.0082145,47.63782,0.0,0.0024162424,0.21544293,2613.0596,1.7940936358544757
55.0,339.91406,3.769042,0.0,280.05997,0.0,43.72278,0.0,0.002388178,1.4321175,2615.329,1.8560240099689793
56.0,349.8268,1.6309271,0.0,278.05862,0.0,41.880726,0.0,0.0,0.8345861,2604.9429,1.913915083801003
57.0,354.3596,5.1063247,0.0,276.61688,2.861247,40.170395,0.0,0.0,0.9294324,2595.9976,1.939440961910188
58.0,349.74048,6.3690825,0.0,273.50836,0.30818215,38.972126,0.0,0.005377092,1.3588959,2605.3838,1.9146422326554355
59.0,369.31912,6.27796,0.0,271.0368,2.6882734,36.478043,0.0,0.0023414933,0.55877185,2601.1348,2.014043769976477
60.0,365.4011,7.2185683,0.0,267.5193,2.9755416,36.396614,0.0,0.0075093154,0.5214411,2587.2378,2.0049872764219074
61.0,396.5723,2.4051921,0.0,264.17297,2.9620252,34.31783,0.0,0.0,1.2285159,2579.2808,2.167431176046294
62.0,384.54932,6.305017,0.0,260.69113,8.783303,30.231632,0.0,0.0,0.82182145,2583.8757,2.105106394367283
63.0,405.7945,6.4703503,0.0,257.75238,3.0602703,30.57975,0.0,0.0,1.1281563,2574.9338,2.218591925659323
64.0,407.2643,5.1782374,0.0,254.06468,7.5755396,29.930536,0.0,0.005675593,0.49130824,2569.5337,2.2300548918546412
65.0,419.25867,8.638483,0.0,251.82394,5.3796883,27.087826,0.0,0.0,1.7446373,2558.4082,2.297807121026596
66.0,431.12088,7.3596287,0.0,250.0538,2.9446285,27.102692,0.0,0.0,1.5122951,2560.7559,2.3565218660635905
67.0,436.2801,6.5446386,0.0,246.60307,6.8069916,24.662355,0.0,0.004982275,1.0620972,2554.2063,2.387801618780638
68.0,445.35602,8.721292,0.0,242.88864,2.688999,25.090115,0.0,0.0,1.4871997,2553.2273,2.43534542189455
69.0,434.71893,10.143137,0.0,239.97896,8.244827,25.54584,0.0,0.0,1.5615137,2556.2932,2.3793905901594314
70.0,439.61765,11.114012,0.0,238.24896,13.086106,23.592127,0.0,0.0012414098,2.3640687,2551.2695,2.4047311652585304
71.0,439.64502,10.926843,0.0,236.26744,9.586807,23.43144,0.0,0.0,1.3404241,2561.6555,2.4015218941430914
72.0,456.25232,11.518562,0.0,234.97389,15.33799,23.084332,0.0,0.0,2.3138661,2537.243,2.4945967271518956
73.0,453.03265,12.338913,0.0,231.59233,11.482235,22.331427,0.0,0.001349585,2.4886682,2548.5,2.4763366274222127
74.0,467.71652,11.281725,0.0,229.77556,12.333673,20.90827,0.0,0.0034993235,3.8867457,2527.789,2.5640054817796814
75.0,460.25153,17.58627,0.0,227.43425,18.764482,20.041613,0.0,0.0,3.4602077,2542.5557,2.510166041561936
76.0,452.80634,24.24438,0.0,226.50888,12.144069,21.769188,0.0,0.0035199295,3.1573792,2534.6863,2.480482354910313
77.0,448.6277,19.480118,0.0,221.91312,18.678808,20.668774,0.0,0.0055410066,5.0074267,2524.679,2.4712687648948966
78.0,453.69647,25.372774,0.0,222.76648,24.520678,19.889156,0.0,0.0,4.746294,2524.7534,2.486242721514311
79.0,458.561,28.699203,0.0,220.43,27.040642,19.642271,0.0,0.0,5.3301806,2532.971,2.5004057577668566
80.0,437.8365,29.818583,0.0,220.2115,28.79516,21.779715,0.0,0.005532675,6.197259,2542.4954,2.392058976823658
81.0,430.20718,33.945705,0.0,219.60945,30.637846,20.064758,0.0,0.0,6.1063404,2536.1653,2.357787944065595
82.0,419.3663,33.7397,0.0,218.67165,31.55489,20.543827,0.0,0.002637451,7.5743003,2555.0312,2.292569611916495
83.0,428.73804,43.96941,0.0,217.65152,36.41096,21.799974,0.0,0.0015428632,7.445404,2547.584,2.3315399617787382
84.0,403.16104,42.789356,0.0,216.21448,40.27751,21.915312,0.0,0.0,9.707079,2546.37,2.2094932779605765
85.0,393.37482,47.8752,0.0,217.45341,39.958046,24.070261,0.0,0.0,9.261839,2554.12,2.1518315811282016
86.0,383.4323,51.529892,0.0,218.20166,43.140987,23.432539,0.0,0.0,10.750816,2562.263,2.094154014551035
87.0,370.33817,56.80072,0.0,217.10841,45.032726,25.781492,0.0,0.015374062,11.611775,2563.7515,2.024595741842255
88.0,352.6504,66.962006,0.0,216.94173,49.878067,26.9016,0.0,0.0,13.101926,2580.728,1.9189831222513805
89.0,326.9547,61.70559,0.0,218.37001,51.70963,28.39334,0.0,0.018712388,14.150116,2594.8682,1.7856851520665746
90.0,311.61835,67.63368,0.0,216.90662,50.486095,28.010431,0.0,0.002394508,14.714519,2591.694,1.7100885968439525
91.0,289.50922,64.225746,0.0,216.82387,52.317535,30.409603,0.0,0.0,14.9802475,2604.355,1.593007091035973
92.0,278.6545,73.71254,0.0,219.5664,52.725357,32.164658,0.0,0.004496934,15.543231,2623.755,1.5225571313151236
93.0,263.46747,72.56392,0.0,221.98477,48.356567,34.37391,0.0,0.0,17.48237,2617.9578,1.4492408334728946
94.0,243.37433,73.736984,0.0,220.51875,48.163548,34.27632,0.0,0.0038718032,16.89409,2647.65,1.33502060305834
95.0,252.89468,70.46059,0.0,220.97267,47.71808,37.161655,0.0,0.0042119627,17.88345,2675.4788,1.3717261548444166
96.0,230.8259,68.28414,0.0,222.93597,45.8206,37.97625,0.0,0.0,18.363794,2679.438,1.2594199283226328
97.0,224.88214,71.379234,0.0,225.93999,43.14339,39.957973,0.0,0.0,18.53288,2678.9023,1.2273918384143254
98.0,216.99709,65.51651,0.0,224.61273,42.833218,38.551693,0.0,0.0,17.165758,2679.7346,1.1901390699171102
99.0,205.88185,63.909645,0.0,225.27798,39.90243,40.81855,0.0,0.0062610838,18.53473,2695.1123,1.1282572420617893
100.0,207.13467,64.9188,0.0,226.00565,33.224743,43.061802,0.0,0.0,16.12399,2693.021,1.1363535230969233
101.0,190.1005,57.245934,0.0,225.76495,27.273067,41.3016,0.0,0.002831324,16.691685,2729.4648,1.0416955841971736
102.0,190.27812,52.418533,0.0,223.95517,31.479555,41.438362,0.0,0.0,16.182974,2725.321,1.0446690510914645
103.0,185.17334,54.86605,0.0,225.74605,30.928873,41.976738,0.0,0.0014531085,15.1972275,2743.1216,1.0114001552430987
104.0,194.88866,47.967667,0.0,225.65651,29.546354,42.54889,0.0,0.0,14.738048,2738.217,1.0654347057542972
105.0,188.58018,46.957886,0.0,223.50911,25.017414,42.182053,0.0,0.0012695853,14.09934,2734.165,1.036768940030545
106.0,183.91026,43.238113,0.0,223.1301,25.643412,42.68354,0.0,0.00045828836,12.834388,2767.451,1.0032044015573172
107.0,181.15785,41.354774,0.0,224.64084,24.48957,42.61452,0.0,0.007892722,11.570362,2760.0164,0.991744130348174
108.0,191.14287,38.53835,0.0,223.14236,20.647604,42.10125,0.0,0.004185186,12.187466,2763.0898,1.04500745925608
109.0,192.58163,33.501347,0.0,224.41338,17.984192,40.886578,0.0,0.0,11.245333,2752.9648,1.0581451534247786
110.0,176.24934,32.891052,0.0,221.68877,19.288315,38.656742,0.0,0.0029648093,9.044784,2763.4521,0.9714151608223178
111.0,205.73218,31.115446,0.0,223.07217,16.902712,38.52315,0.0,0.0032087644,11.202718,2772.2424,1.121716043175781
112.0,208.93108,28.05319,0.0,219.16873,14.041145,39.373783,0.0,0.007466286,9.363675,2764.9583,1.143699983402704
113.0,200.26245,24.572508,0.0,218.66492,14.049553,39.301823,0.0,0.0,8.039876,2767.7058,1.0995976276186212
114.0,199.78543,25.555868,0.0,217.97366,13.750923,38.459908,0.0,0.0,7.888701,2769.2485,1.0969054105957514
115.0,210.18062,26.20586,0.0,215.57634,13.327066,36.46026,0.0,0.0,7.257234,2760.8552,1.1547464870529636
116.0,208.91624,23.059448,0.0,213.98315,15.602198,35.741467,0.0,0.0030046299,7.295909,2762.5378,1.1487724436925475
117.0,219.76167,21.229177,0.0,211.32292,13.893637,34.97116,0.0,0.00096388994,5.990191,2765.4382,1.205902411529818
118.0,226.59781,20.521738,0.0,211.28964,15.875124,35.084778,0.0,0.0,6.7072906,2771.9575,1.237840751734171
119.0,227.80814,21.88495,0.0,207.5022,11.09361,34.236805,0.0,0.007008736,6.691301,2772.8555,1.2467086834262868
120.0,236.1776,21.952038,0.0,209.26375,11.717001,31.655804,0.0,0.0030732579,5.4722075,2764.312,1.2926327315303257
121.0,226.34013,22.927288,0.0,207.3725,10.503006,31.589695,0.0,0.009133474,4.8345814,2768.605,1.2417234250537776
122.0,242.3882,21.915747,0.0,204.6063,13.712225,31.037453,0.0,0.0,5.465223,2765.1926,1.3250983597505672
123.0,237.75652,18.262728,0.0,202.51215,13.303252,28.687414,0.0,0.0008364164,5.708489,2768.7551,1.3035842466552516
124.0,255.68253,18.478767,0.0,199.94681,10.587655,29.074871,0.0,0.010435712,5.3529577,2771.218,1.3951609952796105
125.0,251.19614,19.006525,0.0,200.89368,13.209133,29.52107,0.0,0.0,5.370859,2760.363,1.375205701850774
126.0,243.67621,16.529839,0.0,197.49577,12.002593,27.60448,0.0,0.008545413,5.037634,2755.1765,1.3429355222193282
127.0,263.2437,18.621458,0.0,199.07323,9.538569,26.132862,0.0,0.009708996,4.793846,2755.8823,1.4419049633444114
128.0,266.74185,17.002897,0.0,197.18816,10.632077,26.948513,0.0,0.007600991,4.300002,2758.0542,1.4592494563364327
129.0,268.40414,18.102951,0.0,196.67976,10.627254,24.516424,0.0,0.005638268,5.170976,2754.9275,1.4698288191733908
130.0,284.8298,18.860952,0.0,194.41264,16.08444,24.404644,0.0,0.004270498,4.559343,2758.3857,1.548557441614243
131.0,280.937,15.841649,0.0,191.35703,15.34536,24.280487,0.0,0.0,4.1763134,2739.128,1.5414628033568525
132.0,288.96127,16.616123,0.0,191.15253,11.476212,24.168056,0.0,0.0,4.226067,2743.631,1.5810790276841982
133.0,283.29666,13.985924,0.0,190.08092,12.458261,24.053482,0.0,0.008200883,4.657218,2750.546,1.5508306069154183
134.0,300.1851,19.307684,0.0,188.39125,16.179083,23.262714,0.0,0.0047354526,5.1034546,2741.2148,1.6362279422484973
135.0,309.03384,19.738882,0.0,185.15994,17.87205,24.099323,0.0,0.0022108785,4.4012465,2743.682,1.678822732730651
136.0,304.26114,22.675316,0.0,185.62874,12.802386,23.42658,0.0,0.0,4.195278,2728.1997,1.664291475873629
137.0,296.8372,20.735088,0.0,183.28777,17.741205,22.435707,0.0,0.0030040743,5.259231,2730.2915,1.626493342690841
138.0,311.76358,16.509834,0.0,183.30019,14.34297,24.55394,0.0,0.0010885609,4.590143,2719.3608,1.7090643418839682
139.0,311.1354,19.211649,0.0,178.95613,17.90999,22.49127,0.0,0.009692297,5.438049,2732.6768,1.6990950197484236
140.0,323.1363,20.610601,0.0,179.6604,13.806232,21.381657,0.0,0.00042569393,4.7631083,2709.9927,1.7720829522441912
141.0,314.5229,18.074085,0.0,179.13052,17.762762,21.273115,0.0,0.0,5.723227,2729.5916,1.7186599230435347
142.0,316.52408,22.70802,0.0,178.4741,14.121894,20.86932,0.0,0.0,4.692273,2718.3606,1.73451091535728
143.0,320.74252,24.332401,0.0,176.85858,17.164783,22.189737,0.0,0.0037529846,6.4243464,2724.0288,1.7499970510459892
144.0,313.96878,24.810299,0.0,175.2859,14.24098,21.073427,0.0,0.002197034,6.11858,2722.7515,1.7199429517742653
145.0,315.4797,25.191149,0.0,174.4639,18.596598,19.895412,0.0,0.0,4.953305,2705.394,1.7351731747606793
146.0,319.8529,23.927805,0.0,172.32607,20.392162,22.053333,0.0,0.0,5.4087415,2713.824,1.7520463826106543
147.0,320.73477,25.36429,0.0,172.41302,19.625576,20.307861,0.0,0.0,6.8796763,2717.005,1.7552280395633442
148.0,322.3987,29.132113,0.0,171.66566,24.616116,21.035168,0.0,0.0,6.5542207,2713.8276,1.7604507801490545
149.0,323.65747,28.496199,0.0,170.90837,18.785124,19.361006,0.0,0.0,7.639986,2712.8188,1.7719926158631065
150.0,316.52084,27.788923,0.0,170.97699,17.669878,22.194149,0.0,0.0,6.1821527,2718.1938,1.733281546141066
151.0,318.888,27.801352,0.0,171.0225,26.58989,22.032753,0.0,7.433738e-05,7.028451,2701.8901,1.7489798204118279
152.0,314.4621,27.826519,0.0,169.01323,25.465893,21.007812,0.0,0.0,7.0729322,2709.4038,1.7252572476183352
153.0,311.3267,30.009975,0.0,168.38069,21.097086,22.998692,0.0,0.0071047535,6.508339,2708.9067,1.710386074909447
154.0,313.48193,37.174423,0.0,170.496,22.043451,21.80721,0.0,0.0,8.005118,2713.6082,1.7138828491234837
155.0,316.70114,33.801113,0.0,168.65663,19.924366,23.80852,0.0,0.0,7.2981606,2705.9094,1.736679393692504
156.0,294.25024,31.214672,0.0,167.22241,26.199247,24.896845,0.0,0.0021753688,8.59935,2705.1282,1.6234434970902405
157.0,314.60214,34.75469,0.0,167.89088,25.99779,24.379513,0.0,0.0,8.178126,2710.2732,1.7203814190956455
158.0,292.51944,37.91584,0.0,167.55376,23.16857,25.62091,0.0,0.0023761464,9.029163,2705.1199,1.612411843133602
159.0,294.63135,35.313766,0.0,167.67632,27.156578,23.839901,0.0,0.00603462,9.268818,2709.6504,1.6208761638070592
160.0,303.09058,35.704155,0.0,168.2795,27.04681,23.020157,0.0,0.0019826773,8.898875,2730.4133,1.6525619080523077
161.0,291.22253,40.655422,0.0,165.7499,25.961945,25.404392,0.0,0.0,9.810858,2717.2554,1.598211103699574
162.0,283.33612,40.861385,0.0,168.84056,33.189117,24.013443,0.0,0.0044237566,9.949051,2737.337,1.5448413475443092
163.0,280.5447,39.087067,0.0,165.3115,28.697538,23.730553,0.0,0.0013927773,9.831552,2722.6296,1.5425622308205051
164.0,282.5672,37.253025,0.0,167.22055,30.290953,24.28127,0.0,0.0,9.872604,2745.599,1.5408222786041077
165.0,278.30215,41.704742,0.0,165.79636,29.488445,27.469072,0.0,0.0,10.003585,2744.786,1.5174108110964675
166.0,270.37314,41.070404,0.0,167.19313,26.185137,27.354216,0.0,0.0020256091,10.416206,2725.232,1.4878174560413868
167.0,269.13828,40.983986,0.0,166.67146,30.614775,29.082079,0.0,0.0,11.245139,2740.4612,1.4721902850070456
168.0,274.25345,44.037006,0.0,164.79044,27.885357,27.744556,0.0,0.0,10.020327,2754.3875,1.4928148242160633
169.0,267.3402,41.034664,0.0,167.88268,26.85408,30.371695,0.0,0.0,10.889823,2750.651,1.4591566534598053
170.0,263.35825,40.98901,0.0,162.89212,27.690784,28.347704,0.0,0.0,10.6895685,2749.207,1.4425397888678615
171.0,253.37122,40.345192,0.0,165.24779,28.461365,28.73754,0.0,0.015859379,11.165728,2749.9011,1.3905575811872124
172.0,249.12495,41.240406,0.0,165.99251,26.052496,28.400806,0.0,0.005106593,11.391572,2752.8801,1.3682517420005418
173.0,249.53673,41.14593,0.0,166.75244,22.238571,28.741371,0.0,0.0017521494,10.297161,2770.9993,1.3639438355459295
174.0,245.9215,35.388794,0.0,166.37679,25.013468,30.294455,0.0,0.0038103538,10.600259,2744.666,1.357324903883468
175.0,247.98776,37.552498,0.0,165.42514,26.128473,28.634243,0.0,0.008261616,10.663595,2752.6282,1.3642347521236844
176.0,239.52731,35.477943,0.0,167.28587,27.337925,31.348259,0.0,0.010917748,10.297528,2760.1755,1.3165609367746687
177.0,236.44615,35.52688,0.0,166.28905,26.653292,32.256603,0.0,0.0,9.300509,2763.0461,1.3000023120798694
178.0,243.72049,38.01518,0.0,164.54012,26.193995,29.384806,0.0,0.0,10.313407,2758.8467,1.3397987268824183
179.0,246.59445,36.481255,0.0,166.37407,24.241613,32.0593,0.0,0.0066428366,9.875024,2773.757,1.3478212161353333
180.0,250.2371,36.10393,0.0,165.40347,20.028513,31.640085,0.0,0.0008124703,9.57397,2783.8823,1.3644932651654698
181.0,247.56651,39.92421,0.0,165.08722,21.632057,29.254723,0.0,0.0,9.26392,2767.9795,1.3564722437915464
182.0,243.16478,34.772717,0.0,163.87004,25.303625,29.865149,0.0,0.007965047,9.280435,2780.3179,1.3299726793013016
183.0,245.09732,37.21748,0.0,164.96123,22.582724,30.212057,0.0,0.0,9.735992,2771.7397,1.3427926186281176
184.0,254.59254,30.433334,0.0,164.50829,25.767542,30.943121,0.0,0.0028372416,8.4754715,2787.1853,1.385655864085639
185.0,240.66077,28.148863,0.0,161.97404,20.837627,29.064486,0.0,0.00063252717,7.9612565,2784.7805,1.3210478107181667
186.0,244.70477,30.219122,0.0,163.10414,20.729673,29.313782,0.0,0.0028405113,9.182687,2785.8054,1.3397946745893172
187.0,243.65923,34.19553,0.0,164.30205,17.921518,31.08434,0.0,0.0,8.955327,2793.0037,1.3298916120673518
188.0,252.0333,32.373886,0.0,165.14172,19.686285,29.945684,0.0,0.0010552693,8.080476,2777.2778,1.378832809251627
189.0,248.93474,30.02219,0.0,161.85898,20.65656,29.892313,0.0,0.0010084626,8.947038,2793.2942,1.3584811523093798
190.0,258.1696,29.243448,0.0,161.51613,23.370275,29.123093,0.0,0.0,8.064017,2789.7375,1.4060948022049777
191.0,252.02718,32.369267,0.0,160.72087,20.665699,29.561014,0.0,0.004322685,7.990966,2774.3284,1.3816596951662947
192.0,255.23183,31.155144,0.0,160.6628,19.599026,29.857967,0.0,0.0,7.545294,2793.3513,1.3906447368727828
193.0,260.3321,30.580124,0.0,160.83212,16.175457,28.232693,0.0,0.00079158065,8.118578,2789.7925,1.420122633410243
194.0,263.1268,24.699518,0.0,159.76173,18.647354,27.445333,0.0,0.0,6.53047,2777.6646,1.4417741325344036
195.0,252.27852,25.137337,0.0,160.44745,18.34734,28.465776,0.0,0.0019894955,6.295297,2782.7964,1.3839696194787674
196.0,247.02512,28.087746,0.0,156.01878,18.731522,26.839504,0.0,0.0,5.97602,2772.9868,1.3625667195426363
197.0,268.40784,29.662722,0.0,158.95786,20.908236,28.956999,0.0,0.0024911184,6.89712,2775.2937,1.465851669834044
198.0,256.09473,27.277914,0.0,159.32156,16.220453,29.673166,0.0,0.0,6.0598083,2788.655,1.400717457602675
199.0,248.45694,30.937109,0.0,159.27365,18.660978,26.437225,0.0,0.006419079,7.5885925,2768.2483,1.3694821394445067
200.0,267.30338,25.201515,0.0,157.5072,18.58855,26.604982,0.0,0.0,7.833929,2778.4138,1.4636417255836647
201.0,269.4323,29.343555,0.0,156.5505,18.628592,27.09022,0.0,0.008913302,6.708384,2778.4197,1.4726652741713884
202.0,265.21313,23.40046,0.0,153.34006,16.867958,25.665691,0.0,0.0,6.164197,2789.3901,1.4520820025994
203.0,275.014,21.024948,0.0,155.67262,15.480511,25.74867,0.0,0.0061112265,7.599736,2778.3447,1.5069334994175656
204.0,274.2275,26.744524,0.0,154.79626,17.944357,26.09459,0.0,0.0026887932,6.1700253,2771.8252,1.5024661151485523
