day,S,I,A,H,C,R_t
1210.0,0.09330539032816887,47.67659977504185,0.5423876047134399,0.0,494.6458478655134,0.002538596065013972
1211.0,0.10208015888929367,47.60853958129883,0.5423876047134399,0.0,494.7998352050781,0.002777123323071055
1212.0,0.10655079569135394,47.48707798549107,0.5423876047134399,0.0,494.7538626534598,0.002899839585272916
1213.0,0.1110214324934142,47.36561638968332,0.5423876047134399,0.0,494.70789010184154,0.0030225558474747767
1214.0,0.11549206929547447,47.24415479387556,0.5423876047134399,0.0,494.6619175502232,0.0031452721096766377
1215.0,0.11996270609753473,47.1226931980678,0.5423876047134399,0.0,494.6159449986049,0.003267988371878499
1216.0,0.12443334289959498,47.00123160226004,0.5423876047134399,0.0,494.5699724469866,0.00339070463408036
1217.0,0.12890397970165526,46.87977000645229,0.5423876047134399,0.0,494.5239998953683,0.0035134208962822205
1218.0,0.13337461650371552,46.75830841064453,0.5423876047134399,0.0,494.47802734375,0.0036361371584840816
1219.0,0.11432109986032758,46.648629324776785,0.5423876047134399,0.0,494.575204031808,0.0031166889929863557
1220.0,0.09526758321693965,46.53895023890904,0.5423876047134399,0.0,494.67238071986606,0.0025972408274886295
1221.0,0.07621406657355173,46.42927115304129,0.5423876047134399,0.0,494.7695574079241,0.0020777926619909037
1222.0,0.0571605499301638,46.31959206717355,0.5423876047134399,0.0,494.86673409598217,0.0015583444964931779
1223.0,0.038107033286775865,46.209912981305806,0.5423876047134399,0.0,494.9639107840402,0.001038896330995452
1224.0,0.019053516643387947,46.10023389543806,0.5423876047134399,0.0,495.0610874720982,0.0005194481654977258
1225.0,0.0,45.99055480957031,0.5423876047134399,0.0,495.15826416015625,0.0
1226.0,0.021565413900784085,45.89026805332729,0.5423876047134399,0.0,495.3819013323103,0.0005870693414245763
1227.0,0.04313082780156817,45.78998129708426,0.5423876047134399,0.0,495.6055385044643,0.0011741386828491526
1228.0,0.06469624170235225,45.68969454084124,0.5423876047134399,0.0,495.8291756766183,0.0017612080242737289
1229.0,0.08626165560313634,45.589407784598215,0.5423876047134399,0.0,496.0528128487723,0.002348277365698305
1230.0,0.10782706950392043,45.48912102835519,0.5423876047134399,0.0,496.27645002092635,0.0029353467071228812
1231.0,0.1293924834047045,45.38883427211216,0.5423876047134399,0.0,496.50008719308033,0.0035224160485474577
1232.0,0.1509578973054886,45.28854751586914,0.5423876047134399,0.0,496.7237243652344,0.004109485389972034
1233.0,0.1543281546660832,45.30148369925363,0.5423876047134399,0.0,496.6642761230469,0.004201610923812008
1234.0,0.1576984120266778,45.31441988263811,0.5423876047134399,0.0,496.6048278808594,0.0042937364576519825
1235.0,0.16106866938727243,45.3273560660226,0.5423876047134399,0.0,496.5453796386719,0.004385861991491957
1236.0,0.16443892674786703,45.340292249407085,0.5423876047134399,0.0,496.4859313964844,0.004477987525331932
1237.0,0.16780918410846166,45.353228432791575,0.5423876047134399,0.0,496.4264831542969,0.004570113059171906
1238.0,0.17117944146905628,45.36616461617606,0.5423876047134399,0.0,496.3670349121094,0.00466223859301188
1239.0,0.17454969882965088,45.37910079956055,0.5423876047134399,0.0,496.3075866699219,0.004754364126851854
1240.0,0.16000613889523915,45.33176040649414,0.5423876047134399,0.0,496.53440638950894,0.004357627120631297
1241.0,0.14546257896082743,45.284420013427734,0.5423876047134399,0.0,496.76122610909596,0.003960890114410739
1242.0,0.13091901902641567,45.23707962036133,0.5423876047134399,0.0,496.988045828683,0.0035641531081901812
1243.0,0.11637545909200396,45.18973922729492,0.5423876047134399,0.0,497.2148655482701,0.0031674161019696234
1244.0,0.10183189915759223,45.142398834228516,0.5423876047134399,0.0,497.44168526785717,0.0027706790957490656
1245.0,0.0872883392231805,45.09505844116211,0.5423876047134399,0.0,497.6685049874442,0.0023739420895285083
1246.0,0.07274477928876877,45.0477180480957,0.5423876047134399,0.0,497.89532470703125,0.0019772050833079505
1247.0,0.06655940253819738,44.827225821358816,0.5423876047134399,0.0,497.9349583217076,0.0018093624567115246
1248.0,0.06037402578762599,44.60673359462193,0.5423876047134399,0.0,497.97459193638394,0.0016415198301150988
1249.0,0.05418864903705461,44.38624136788504,0.5423876047134399,0.0,498.0142255510603,0.0014736772035186727
1250.0,0.04800327228648322,44.16574914114816,0.5423876047134399,0.0,498.0538591657366,0.0013058345769222468
1251.0,0.04181789553591183,43.945256914411274,0.5423876047134399,0.0,498.09349278041293,0.001137991950325821
1252.0,0.03563251878534045,43.72476468767439,0.5423876047134399,0.0,498.1331263950893,0.0009701493237293949
1253.0,0.029447142034769058,43.5042724609375,0.5423876047134399,0.0,498.1727600097656,0.000802306697132969
1254.0,0.025240407458373477,43.41025652204241,0.5423876047134399,0.0,498.13189697265625,0.000687691454685402
1255.0,0.021033672881977897,43.31624058314732,0.5423876047134399,0.0,498.0910339355469,0.000573076212237835
1256.0,0.01682693830558232,43.22222464425223,0.5423876047134399,0.0,498.0501708984375,0.000458460969790268
1257.0,0.012620203729186739,43.128208705357146,0.5423876047134399,0.0,498.0093078613281,0.000343845727342701
1258.0,0.008413469152791158,43.034192766462056,0.5423876047134399,0.0,497.96844482421875,0.000229230484895134
1259.0,0.004206734576395581,42.940176827566965,0.5423876047134399,0.0,497.9275817871094,0.000114615242447567
1260.0,0.0,42.846160888671875,0.5423876047134399,0.0,497.88671875,0.0
1261.0,0.0,42.83813258579799,0.5423876047134399,0.0,498.0775626046317,0.0
1262.0,0.0,42.830104282924104,0.5423876047134399,0.0,498.2684064592634,0.0
1263.0,0.0,42.82207598005022,0.5423876047134399,0.0,498.4592503138951,0.0
1264.0,0.0,42.81404767717634,0.5423876047134399,0.0,498.6500941685268,0.0
1265.0,0.0,42.80601937430246,0.5423876047134399,0.0,498.84093802315846,0.0
1266.0,0.0,42.79799107142857,0.5423876047134399,0.0,499.0317818777902,0.0
1267.0,0.0,42.78996276855469,0.5423876047134399,0.0,499.2226257324219,0.0
1268.0,0.005924931594303676,42.66619600568499,0.5423876047134399,0.0,499.3173261369978,0.00016138575394517487
1269.0,0.011849863188607352,42.54242924281529,0.5423876047134399,0.0,499.41202654157365,0.00032277150789034975
