day,S,I,P,C,E,Q,D,A,W,R,R_t
32.0,2143.400809151786,315.28026689801897,0.0,18.252945491245814,682.8903372628348,15.231122016906738,0.0,1.8064911365509033,24.062690326145717,91.01058415004185,11.754647078144263
33.0,2039.247349330357,347.195552280971,0.0,20.334060396466935,741.452872140067,16.792997360229492,0.0,1.772101640701294,26.66051455906459,99.94380841936383,11.187618371573638
34.0,1935.0938895089284,379.110837663923,0.0,22.41517530168806,800.0154070172991,18.354872703552246,0.0,1.7377121448516846,29.25833879198347,108.87703268868583,10.620589665003015
35.0,1830.9404296875,411.026123046875,0.0,24.49629020690918,858.5779418945312,19.916748046875,0.0,1.7033226490020752,31.856163024902344,117.81025695800781,10.05356095843239
36.0,1702.003138950893,459.41810825892856,0.0,28.417495727539062,910.074480329241,23.27396719796317,0.0,1.6737298795155116,36.77750178745815,139.90846034458704,9.345110191227189
37.0,1573.0658482142858,507.8100934709821,0.0,32.338701248168945,961.5710187639509,26.63118634905134,0.0,1.6441371100289481,41.698840550013955,162.0066637311663,8.636659424021989
38.0,1444.1285574776784,556.2020786830358,0.0,36.25990676879883,1013.0675571986608,29.988405500139507,0.0,1.6145443405423845,46.62017931256975,184.10486711774553,7.928208656816787
39.0,1315.1912667410716,604.5940638950892,0.0,40.18111228942871,1064.5640956333705,33.34562465122768,0.0,1.584951571055821,51.54151807512556,206.20307050432478,7.219757889611587
40.0,1186.2539760044642,652.9860491071429,0.0,44.102317810058594,1116.0606340680804,36.70284380231585,0.0,1.5553588015692574,56.462856837681365,228.301273890904,6.511307122406386
41.0,1057.316685267857,701.3780343191964,0.0,48.02352333068848,1167.5571725027903,40.060062953404014,0.0,1.5257660320826938,61.38419560023716,250.39947727748324,5.802856355201184
42.0,928.37939453125,749.77001953125,0.0,51.94472885131836,1219.0537109375,43.41728210449219,0.0,1.4961732625961304,66.30553436279297,272.4976806640625,5.0944055879959835
43.0,841.8363865443638,795.5237165178571,0.0,58.02610887799944,1217.197719029018,49.04444340297154,0.0,1.470321876662118,73.0862045288086,306.58980887276783,4.617823386014247
44.0,755.2933785574777,841.2774135044643,0.0,64.10748890468052,1215.3417271205358,54.67160470145089,0.0,1.4444704907281058,79.86687469482422,340.6819370814732,4.141241184032509
45.0,668.7503705705915,887.0311104910714,0.0,70.18886893136161,1213.4857352120537,60.29876599993025,0.0,1.4186191047940935,86.64754486083984,374.77406529017856,3.6646589820507725
46.0,582.2073625837054,932.7848074776786,0.0,76.27024895804269,1211.6297433035713,65.92592729840959,0.0,1.3927677188600813,93.42821502685547,408.86619349888394,3.1880767800690357
47.0,495.6643545968192,978.5385044642858,0.0,82.35162898472377,1209.7737513950892,71.55308859688895,0.0,1.366916332926069,100.2088851928711,442.9583217075893,2.7114945780872985
48.0,409.12134660993297,1024.292201450893,0.0,88.43300901140486,1207.917759486607,77.1802498953683,0.0,1.3410649469920566,106.98955535888672,477.0504499162946,2.2349123761055614
49.0,322.5783386230469,1070.0458984375,0.0,94.51438903808594,1206.061767578125,82.80741119384766,0.0,1.3152135610580444,113.77022552490234,511.142578125,1.7583301741238244
50.0,289.58760833740234,1090.4934256417412,0.0,102.78436715262276,1161.8150024414062,89.423828125,0.0,1.2898925031934465,121.12826320103237,551.6077880859375,1.5787252750534575
51.0,256.5968780517578,1110.940952845982,0.0,111.05434526715959,1117.5682373046875,96.04024505615234,0.0,1.2645714453288488,128.4863008771624,592.072998046875,1.3991203759830904
52.0,223.60614776611328,1131.3884800502233,0.0,119.32432338169643,1073.3214721679688,102.65666198730469,0.0,1.2392503874642509,135.8443385532924,632.5382080078125,1.2195154769127234
53.0,190.61541748046875,1151.8360072544642,0.0,127.59430149623326,1029.07470703125,109.27307891845703,0.0,1.213929329599653,143.20237622942244,673.00341796875,1.0399105778423565
54.0,157.62468719482422,1172.2835344587054,0.0,135.8642796107701,984.8279418945312,115.88949584960938,0.0,1.188608271735055,150.56041390555245,713.4686279296875,0.8603056787719896
55.0,124.63395690917969,1192.7310616629466,0.0,144.13425772530692,940.5811767578125,122.50591278076172,0.0,1.1632872138704573,157.91845158168246,753.933837890625,0.6807007797016225
56.0,91.64322662353516,1213.1785888671875,0.0,152.40423583984375,896.3344116210938,129.12232971191406,0.0,1.1379661560058594,165.2764892578125,794.3990478515625,0.5010958806312555
57.0,81.61500712803432,1207.6124093191963,0.0,159.74037170410156,853.4469604492188,135.84176635742188,0.0,1.1187118291854858,171.0732705252511,839.8643275669643,0.44622619477626685
58.0,71.58678763253349,1202.0462297712054,0.0,167.07650756835938,810.5595092773438,142.5612030029297,0.0,1.0994575023651123,176.87005179268974,885.329607282366,0.39135650892127816
59.0,61.558568137032644,1196.4800502232142,0.0,174.4126434326172,767.6720581054688,149.2806396484375,0.0,1.0802031755447388,182.66683306012834,930.7948869977679,0.3364868230662894
60.0,51.53034864153181,1190.9138706752233,0.0,181.748779296875,724.7846069335938,156.0000762939453,0.0,1.0609488487243652,188.46361432756697,976.2601667131696,0.2816171372113007
61.0,41.502129146030974,1185.347691127232,0.0,189.0849151611328,681.8971557617188,162.71951293945312,0.0,1.0416945219039917,194.26039559500558,1021.7254464285714,0.22674745135631202
62.0,31.473909650530132,1179.7815115792412,0.0,196.42105102539062,639.0097045898438,169.43894958496094,0.0,1.0224401950836182,200.05717686244418,1067.1907261439733,0.17187776550132328
