day,S,I,V,D,C,E,P,H,A,Q,R_t
928.0,18.014495849609375,3.715221949986049,624.0121023995536,1576.9237234933037,999.2135968889509,0.6680702652250018,0.0,10.186180523463658,3.203627824783325,0.02654182804482324,0.08832858651724328
929.0,22.51811981201172,4.644027437482562,623.9387119838169,1580.1685093470983,1001.1893746512277,0.44538017681666786,0.0,10.058499608721052,3.203627824783325,0.01769455202988216,0.1104107331465541
930.0,27.021743774414062,5.572832924979074,623.8653215680804,1583.413295200893,1003.1651524135044,0.22269008840833404,0.0,9.930818693978445,3.203627824783325,0.008847276014941077,0.1324928797758649
931.0,31.525367736816406,6.501638412475586,623.7919311523438,1586.6580810546875,1005.1409301757812,0.0,0.0,9.80313777923584,3.203627824783325,0.0,0.15457502640517573
932.0,28.332175936017716,6.599386419568743,624.4111066545759,1580.2695138113838,1003.6162458147321,0.4250798906598772,0.0,8.40268952505929,3.203627824783325,0.04561688644545419,0.13905296116626983
933.0,25.13898413521903,6.6971344266619,625.0302821568081,1573.8809465680804,1002.0915614536831,0.8501597813197544,0.0,7.002241270882743,3.203627824783325,0.09123377289090838,0.12353089592736397
934.0,21.94579233442034,6.794882433755057,625.6494576590402,1567.4923793247767,1000.566877092634,1.2752396719796317,0.0,5.6017930167061945,3.203627824783325,0.13685065933636256,0.10800883068845807
935.0,18.752600533621653,6.892630440848214,626.2686331612723,1561.1038120814733,999.0421927315848,1.700319562639509,0.0,4.201344762529645,3.203627824783325,0.18246754578181676,0.0924867654495522
936.0,15.559408732822963,6.990378447941372,626.8878086635044,1554.7152448381696,997.5175083705357,2.1253994532993863,0.0,2.8008965083530963,3.203627824783325,0.22808443222727096,0.0769647002106463
937.0,12.366216932024273,7.088126455034528,627.5069841657366,1548.3266775948662,995.9928240094866,2.5504793439592635,0.0,1.400448254176549,3.203627824783325,0.2737013186727251,0.06144263497174042
938.0,9.173025131225586,7.1858744621276855,628.1261596679688,1541.9381103515625,994.4681396484375,2.9755592346191406,0.0,0.0,3.203627824783325,0.3193182051181793,0.04592056973283453
939.0,7.8625929696219305,7.310410908290318,628.3657749720982,1542.3865966796875,997.4942714146206,2.5504793439592635,0.0,0.0,3.203627824783325,0.29797141679695677,0.0393604883424296
940.0,6.552160808018275,7.434947354452951,628.6053902762277,1542.8350830078125,1000.5204031808036,2.1253994532993863,0.0,0.0,3.203627824783325,0.27662462847573416,0.032800406952024665
941.0,5.241728646414621,7.559483800615583,628.8450055803571,1543.2835693359375,1003.5465349469866,1.700319562639509,0.0,0.0,3.203627824783325,0.2552778401545116,0.02624032556161973
942.0,3.9312964848109653,7.684020246778216,629.0846208844866,1543.7320556640625,1006.5726667131696,1.2752396719796317,0.0,0.0,3.203627824783325,0.233931051833289,0.0196802441712148
943.0,2.62086432320731,7.808556692940848,629.324236188616,1544.1805419921875,1009.5987984793527,0.8501597813197543,0.0,0.0,3.203627824783325,0.21258426351206644,0.013120162780809866
944.0,1.3104321616036554,7.93309313910348,629.5638514927456,1544.6290283203125,1012.6249302455357,0.42507989065987717,0.0,0.0,3.203627824783325,0.19123747519084386,0.006560081390404933
945.0,0.0,8.057629585266113,629.803466796875,1545.0775146484375,1015.6510620117188,0.0,0.0,0.0,3.203627824783325,0.16989068686962128,0.0
946.0,0.0,6.906539644513812,629.2801949637277,1547.7050258091517,1011.6557094029018,0.0,0.0,0.049565528120313375,3.203627824783325,0.22571393847465515,0.0
947.0,0.0,5.75544970376151,628.7569231305804,1550.3325369698662,1007.6603567940848,0.0,0.0,0.09913105624062675,3.203627824783325,0.281537190079689,0.0
948.0,0.0,4.6043597630092075,628.2336512974331,1552.9600481305804,1003.6650041852679,0.0,0.0,0.14869658436094013,3.203627824783325,0.3373604416847229,0.0
949.0,0.0,3.453269822256906,627.7103794642857,1555.5875592912946,999.6696515764509,0.0,0.0,0.1982621124812535,3.203627824783325,0.3931836932897568,0.0
950.0,0.0,2.302179881504604,627.1871076311384,1558.2150704520088,995.674298967634,0.0,0.0,0.24782764060156687,3.203627824783325,0.44900694489479065,0.0
951.0,0.0,1.1510899407523016,626.663835797991,1560.8425816127233,991.6789463588169,0.0,0.0,0.29739316872188026,3.203627824783325,0.5048301964998245,0.0
952.0,0.0,0.0,626.1405639648438,1563.4700927734375,987.68359375,0.0,0.0,0.3469586968421936,3.203627824783325,0.5606534481048584,0.0
953.0,0.0,0.47849321365356445,625.1991141183036,1564.712890625,988.9535522460938,0.0,0.0,1.3557758842195784,3.203627824783325,0.5166518475328173,0.0
954.0,0.0,0.9569864273071289,624.2576642717634,1565.9556884765625,990.2235107421875,0.0,0.0,2.364593071596963,3.203627824783325,0.4726502469607762,0.0
955.0,0.0,1.4354796409606934,623.3162144252232,1567.198486328125,991.4934692382812,0.0,0.0,3.373410258974348,3.203627824783325,0.4286486463887351,0.0
956.0,0.0,1.9139728546142578,622.3747645786831,1568.4412841796875,992.763427734375,0.0,0.0,4.382227446351733,3.203627824783325,0.38464704581669396,0.0
957.0,0.0,2.3924660682678223,621.4333147321429,1569.68408203125,994.0333862304688,0.0,0.0,5.391044633729118,3.203627824783325,0.3406454452446529,0.0
958.0,0.0,2.8709592819213867,620.4918648856027,1570.9268798828125,995.3033447265625,0.0,0.0,6.399861821106502,3.203627824783325,0.2966438446726118,0.0
959.0,0.0,3.349452495574951,619.5504150390625,1572.169677734375,996.5733032226562,0.0,0.0,7.408679008483887,3.203627824783325,0.2526422441005707,0.0
960.0,0.0,2.8709592819213867,619.4847935267857,1568.2357700892858,998.4256068638393,0.0,0.0,8.239000047956194,3.203627824783325,0.2554704589503152,0.0
961.0,0.0,2.3924660682678223,619.419172014509,1564.3018624441963,1000.2779105050223,0.0,0.0,9.069321087428502,3.203627824783325,0.2582986738000597,0.0
962.0,0.0,1.9139728546142578,619.3535505022321,1560.367954799107,1002.1302141462054,0.0,0.0,9.899642126900808,3.203627824783325,0.26112688864980427,0.0
963.0,0.0,1.4354796409606934,619.2879289899554,1556.434047154018,1003.9825177873884,0.0,0.0,10.729963166373118,3.203627824783325,0.26395510349954876,0.0
964.0,0.0,0.9569864273071289,619.2223074776786,1552.5001395089287,1005.8348214285714,0.0,0.0,11.560284205845424,3.203627824783325,0.2667833183492933,0.0
965.0,0.0,0.47849321365356445,619.1566859654018,1548.5662318638392,1007.6871250697544,0.0,0.0,12.390605245317731,3.203627824783325,0.2696115331990378,0.0
966.0,0.0,0.0,619.091064453125,1544.63232421875,1009.5394287109375,0.0,0.0,13.220926284790039,3.203627824783325,0.27243974804878235,0.0
967.0,5.285200936453683,0.0,620.6533813476562,1546.627406529018,1008.1289498465402,0.20061463969094412,0.0,13.027863366263253,3.203627824783325,0.23351978404181345,0.0258650946858667
968.0,10.570401872907366,0.0,622.2156982421875,1548.6224888392858,1006.7184709821429,0.40122927938188824,0.0,12.834800447736468,3.203627824783325,0.19459982003484455,0.0517301893717334
969.0,15.855602809361049,0.0,623.7780151367188,1550.6175711495537,1005.3079921177456,0.6018439190728324,0.0,12.641737529209681,3.203627824783325,0.15567985602787562,0.07759528405760009
970.0,21.140803745814733,0.0,625.34033203125,1552.6126534598213,1003.8975132533482,0.8024585587637765,0.0,12.448674610682897,3.203627824783325,0.11675989202090672,0.1034603787434668
971.0,26.426004682268417,0.0,626.9026489257812,1554.6077357700892,1002.4870343889509,1.0030731984547205,0.0,12.25561169215611,3.203627824783325,0.07783992801393783,0.12932547342933348
972.0,31.711205618722097,0.0,628.4649658203125,1556.602818080357,1001.0765555245536,1.2036878381456648,0.0,12.062548773629324,3.203627824783325,0.0389199640069689,0.15519056811520018
973.0,36.99640655517578,0.0,630.0272827148438,1558.597900390625,999.6660766601562,1.4043024778366089,0.0,11.869485855102539,3.203627824783325,0.0,0.18105566280106689
974.0,31.711205618722097,0.0,629.184797014509,1559.5418875558037,997.8487984793527,1.2036878381456648,0.0,10.17384501865932,3.203627824783325,0.0,0.15519056811520018
975.0,26.426004682268413,0.0,628.3423113141741,1560.485874720982,996.0315202985491,1.0030731984547208,0.0,8.4782041822161,3.203627824783325,0.0,0.12932547342933348
976.0,21.140803745814733,0.0,627.4998256138393,1561.4298618861608,994.2142421177456,0.8024585587637765,0.0,6.782563345772879,3.203627824783325,0.0,0.1034603787434668
977.0,15.855602809361049,0.0,626.6573399135044,1562.3738490513392,992.3969639369419,0.6018439190728324,0.0,5.08692250932966,3.203627824783325,0.0,0.07759528405760009
978.0,10.570401872907365,0.0,625.8148542131696,1563.317836216518,990.5796857561384,0.40122927938188835,0.0,3.3912816728864392,3.203627824783325,0.0,0.051730189371733404
979.0,5.285200936453684,0.0,624.9723685128348,1564.2618233816963,988.7624075753348,0.20061463969094406,0.0,1.6956408364432196,3.203627824783325,0.0,0.025865094685866702
980.0,0.0,0.0,624.1298828125,1565.205810546875,986.9451293945312,0.0,0.0,0.0,3.203627824783325,0.0,0.0
981.0,7.124773842947824,0.0,624.8949323381696,1565.7494594029017,988.8500889369419,0.014105208218097687,0.0,2.3526968274797713,3.203627824783325,0.03771189706666129,0.03452910714888808
982.0,14.249547685895648,0.0,625.6599818638393,1566.2931082589287,990.7550484793527,0.028210416436195374,0.0,4.7053936549595425,3.203627824783325,0.07542379413332258,0.06905821429777616
983.0,21.37432152884347,0.0,626.425031389509,1566.8367571149554,992.6600080217634,0.04231562465429306,0.0,7.058090482439313,3.203627824783325,0.11313569119998387,0.10358732144666424
984.0,28.499095371791295,0.0,627.1900809151786,1567.380405970982,994.5649675641741,0.05642083287239075,0.0,9.410787309919085,3.203627824783325,0.15084758826664516,0.13811642859555232
985.0,35.623869214739116,0.0,627.9551304408482,1567.9240548270088,996.4699271065848,0.07052604109048843,0.0,11.763484137398857,3.203627824783325,0.18855948533330644,0.1726455357444404
986.0,42.74864305768694,0.0,628.7201799665179,1568.4677036830358,998.3748866489956,0.08463124930858612,0.0,14.116180964878627,3.203627824783325,0.22627138239996775,0.2071746428933285
987.0,49.873416900634766,0.0,629.4852294921875,1569.0113525390625,1000.2798461914062,0.09873645752668381,0.0,16.4688777923584,3.203627824783325,0.26398327946662903,0.24170375004221656
988.0,42.74864305768694,1.3520118168422155,628.5030517578125,1573.176478794643,1002.2383510044643,0.08463124930858612,0.0,14.116180964878627,3.203627824783325,0.22627138239996775,0.2071746428933285
989.0,35.623869214739116,2.704023633684431,627.5208740234375,1577.3416050502233,1004.1968558175223,0.07052604109048843,0.0,11.763484137398855,3.203627824783325,0.18855948533330646,0.17264553574444041
990.0,28.499095371791295,4.056035450526647,626.5386962890625,1581.5067313058037,1006.1553606305804,0.05642083287239075,0.0,9.410787309919085,3.203627824783325,0.15084758826664516,0.13811642859555232
991.0,21.37432152884347,5.408047267368862,625.5565185546875,1585.6718575613838,1008.1138654436384,0.04231562465429306,0.0,7.058090482439313,3.203627824783325,0.11313569119998387,0.10358732144666424
992.0,14.24954768589565,6.760059084211077,624.5743408203125,1589.8369838169642,1010.0723702566964,0.028210416436195374,0.0,4.705393654959542,3.203627824783325,0.07542379413332259,0.06905821429777617
993.0,7.124773842947825,8.112070901053293,623.5921630859375,1594.0021100725446,1012.0308750697544,0.014105208218097687,0.0,2.3526968274797717,3.203627824783325,0.03771189706666128,0.03452910714888807
994.0,0.0,9.464082717895508,622.6099853515625,1598.167236328125,1013.9893798828125,0.0,0.0,0.0,3.203627824783325,0.0,0.0
995.0,0.0,8.667942251477923,622.6924874441964,1594.1527099609375,1012.2839442661831,0.16674132006508963,0.0,1.6666969571794783,3.203627824783325,0.0,0.0
996.0,0.0,7.871801785060338,622.7749895368304,1590.13818359375,1010.5785086495536,0.33348264013017925,0.0,3.3333939143589566,3.203627824783325,0.0,0.0
997.0,0.0,7.075661318642752,622.8574916294643,1586.1236572265625,1008.8730730329241,0.5002239601952689,0.0,5.0000908715384345,3.203627824783325,0.0,0.0
998.0,0.0,6.2795208522251675,622.9399937220982,1582.109130859375,1007.1676374162946,0.6669652802603585,0.0,6.666787828717913,3.203627824783325,0.0,0.0
999.0,0.0,5.483380385807583,623.0224958147321,1578.0946044921875,1005.4622017996652,0.8337066003254481,0.0,8.333484785897392,3.203627824783325,0.0,0.0
1000.0,0.0,4.687239919389997,623.104997907366,1574.080078125,1003.7567661830357,1.0004479203905379,0.0,10.000181743076869,3.203627824783325,0.0,0.0
1001.0,0.0,3.891099452972412,623.1875,1570.0655517578125,1002.0513305664062,1.1671892404556274,0.0,11.666878700256348,3.203627824783325,0.0,0.0
1002.0,0.0,3.3352281025477817,624.0389317103794,1569.4294259207588,1001.5948747907366,1.0004479203905379,0.0,10.97488900593349,3.203627824783325,0.0811259491103036,0.0
1003.0,0.0,2.7793567521231513,624.890363420759,1568.7933000837054,1001.1384190150669,0.8337066003254482,0.0,10.282899311610631,3.203627824783325,0.1622518982206072,0.0
1004.0,0.0,2.2234854016985213,625.7417951311384,1568.1571742466517,1000.6819632393973,0.6669652802603585,0.0,9.590909617287771,3.203627824783325,0.2433778473309108,0.0
1005.0,0.0,1.6676140512738908,626.5932268415179,1567.5210484095983,1000.2255074637277,0.5002239601952689,0.0,8.898919922964915,3.203627824783325,0.3245037964412144,0.0
1006.0,0.0,1.1117427008492604,627.4446585518973,1566.8849225725446,999.7690516880581,0.33348264013017936,0.0,8.206930228642054,3.203627824783325,0.405629745551518,0.0
1007.0,0.0,0.5558713504246304,628.2960902622768,1566.2487967354912,999.3125959123884,0.16674132006508957,0.0,7.514940534319196,3.203627824783325,0.4867556946618216,0.0
1008.0,0.0,0.0,629.1475219726562,1565.6126708984375,998.8561401367188,0.0,0.0,6.822950839996338,3.203627824783325,0.5678816437721252,0.0
1009.0,0.0,1.955739974975586,629.0748116629464,1561.5828508649554,998.9719151088169,0.0,0.0,5.848243577139718,3.203627824783325,0.5053252343620572,0.0
1010.0,0.0,3.911479949951172,629.0021013532366,1557.5530308314733,999.0876900809152,0.0,0.0,4.873536314283099,3.203627824783325,0.4427688249519893,0.0
1011.0,0.0,5.867219924926758,628.9293910435268,1553.5232107979912,999.2034650530134,0.0,0.0,3.8988290514264787,3.203627824783325,0.3802124155419213,0.0
1012.0,0.0,7.822959899902344,628.8566807338169,1549.4933907645088,999.3192400251116,0.0,0.0,2.924121788569859,3.203627824783325,0.31765600613185335,0.0
1013.0,0.0,9.77869987487793,628.7839704241071,1545.4635707310267,999.4350149972098,0.0,0.0,1.9494145257132391,3.203627824783325,0.2550995967217854,0.0
1014.0,0.0,11.734439849853516,628.7112601143973,1541.4337506975446,999.5507899693081,0.0,0.0,0.9747072628566196,3.203627824783325,0.19254318731171738,0.0
1015.0,0.0,13.690179824829102,628.6385498046875,1537.4039306640625,999.6665649414062,0.0,0.0,0.0,3.203627824783325,0.12998677790164948,0.0
1016.0,1.6365500858851842,11.734439849853516,628.1476266043527,1544.6352364676338,999.2917829241071,0.0,0.0,0.29469183513096403,3.203627824783325,0.14073328460965837,0.008224024772663815
1017.0,3.2731001717703685,9.77869987487793,627.6567034040179,1551.8665422712054,998.9170009068081,0.0,0.0,0.5893836702619281,3.203627824783325,0.15147979131766728,0.01644804954532763
1018.0,4.909650257655553,7.822959899902344,627.1657802036831,1559.0978480747767,998.542218889509,0.0,0.0,0.8840755053928921,3.203627824783325,0.16222629802567617,0.024672074317991444
1019.0,6.546200343540737,5.867219924926758,626.6748570033482,1566.3291538783483,998.1674368722098,0.0,0.0,1.1787673405238561,3.203627824783325,0.1729728047336851,0.03289609909065526
1020.0,8.182750429425921,3.911479949951172,626.1839338030134,1573.5604596819196,997.7926548549107,0.0,0.0,1.47345917565482,3.203627824783325,0.18371931144169398,0.04112012386331908
1021.0,9.819300515311106,1.955739974975586,625.6930106026786,1580.7917654854912,997.4178728376116,0.0,0.0,1.7681510107857843,3.203627824783325,0.19446581814970287,0.04934414863598289
1022.0,11.455850601196289,0.0,625.2020874023438,1588.0230712890625,997.0430908203125,0.0,0.0,2.062842845916748,3.203627824783325,0.2052123248577118,0.0575681734086467
