week,S,I,W,V,P,C,Q,R,R_t
109.0,0.0,0.0,0.3910581,55.554077,0.0,34.462185,1.8780959,3017.756,0.0
110.0,0.0,0.0,0.98407525,54.97413,0.0,26.194902,0.0,3025.28,0.0
111.0,3.6229415,3.731475,0.0,55.283478,0.0,29.293055,0.0,3031.2578,0.01616479528574025
112.0,0.0,0.0,0.0,55.282154,0.0,36.383163,0.0,3018.0278,0.0
113.0,0.0,0.6493745,0.30846336,55.54063,0.0,35.679394,0.11599698,3052.5625,0.0
114.0,11.408022,0.0,2.0908492,55.133686,0.0,35.554848,1.0825812,3041.0415,0.050559696035360646
115.0,0.0,0.0,0.0,55.174248,0.0,30.182177,0.40905592,3033.6145,0.0
116.0,0.0,11.033198,1.2983515,55.37319,0.0,33.553528,0.44546512,2999.101,0.0
117.0,6.131856,20.664686,0.0,55.22821,0.0,25.720829,1.5387557,3045.1611,0.02708794394198105
118.0,8.587408,17.485338,0.0,55.215775,0.0,35.41159,1.527863,3027.0317,0.0380463246959813
119.0,9.266063,0.0,3.7176812,55.11697,0.0,28.269938,0.0,3022.3086,0.041452398591244555
120.0,0.0,4.4274125,0.0,55.017525,0.0,27.299501,0.40975687,3042.705,0.0
121.0,23.47832,0.0,0.0,55.082233,0.0,29.605007,0.43026346,3035.5981,0.10405544083631418
122.0,0.0,0.0,0.74624693,55.3503,0.0,25.29456,0.0,3071.2078,0.0
123.0,0.0,0.0,2.2877362,55.08956,0.0,25.276592,2.0245852,3051.0105,0.0
124.0,6.2366896,0.0,1.1103204,55.515255,0.0,30.880642,0.0,3004.7974,0.028058196707335163
125.0,0.0,0.0,0.0,55.620487,0.0,27.627577,0.0,3049.657,0.0
126.0,0.0,1.5994223,0.30299097,55.32233,0.0,26.188276,0.0,3010.5437,0.0
127.0,0.0,0.0,0.0,55.40505,0.0,23.091843,0.0,3002.2097,0.0
128.0,28.120031,0.0,0.7240137,55.30229,0.0,25.31261,0.60505134,3033.808,0.12466888595034628
129.0,2.1850278,3.0635555,1.1490486,55.496906,0.0,23.860353,0.6602507,3016.3552,0.009816921602134451
130.0,0.0,6.8265142,2.056591,55.464085,0.0,20.09122,0.026828736,3045.2039,0.0
131.0,0.0,0.0,0.0,55.135906,0.0,22.293125,0.14452098,3040.8835,0.0
132.0,24.960634,0.0,0.0,55.27596,0.0,22.72172,0.0,3092.5896,0.10884723570749495
133.0,0.0,8.790623,0.0,55.1885,0.0,18.886032,2.2530963,3062.3926,0.0
134.0,0.0,0.0,0.0,55.60882,0.0,26.707914,0.0,2994.5452,0.0
135.0,0.0,0.835169,0.908151,55.42453,0.0,23.97268,0.4270737,3034.4934,0.0
136.0,5.954917,3.4732587,2.3072631,55.7018,0.0,19.23548,0.0,3061.0015,0.026382230813072505
137.0,0.0,4.5131264,1.5590705,55.58164,0.0,24.396055,0.0,3038.2473,0.0
138.0,10.132477,0.0,0.14488837,55.54006,0.0,17.239397,0.38633093,3014.5857,0.04557824454849172
139.0,7.064597,0.0,0.0,55.275208,0.0,21.919487,0.0,3055.1392,0.03135798024706157
140.0,12.131207,1.3452533,0.0,55.445946,0.0,19.424526,1.4853983,3031.5728,0.054157800476631913
141.0,0.7783117,7.1807313,1.2220577,55.38404,0.0,18.33797,1.3344542,3043.6199,0.0034688335321472153
142.0,26.060507,0.0,1.6846529,55.584835,0.0,14.686195,0.3730551,3039.8733,0.11578009541840065
