week,S,I,Q,R,R_t
85.0,373.16644,0.2804815,0.29764578,734.9972,0.6335304717951744
86.0,373.00256,0.36501145,0.2893854,734.70654,0.6334683657651128
87.0,372.25903,0.21818319,0.28624985,734.16425,0.633025663435803
88.0,373.721,0.27455428,0.23654015,735.8628,0.6336985862525656
89.0,374.17175,0.40996343,0.19039656,734.85474,0.6347305094366719
90.0,371.57684,0.10923819,0.20373738,735.1431,0.631805535873746
91.0,372.60593,0.21919593,0.17814398,734.24304,0.6334332396239823
92.0,372.32172,0.037966188,0.11345468,736.581,0.6319183346049426
93.0,371.3651,0.12610029,0.13340047,734.20514,0.6321325640858373
94.0,372.9567,0.14145805,0.1133464,736.4854,0.6326293879577931
95.0,373.70065,0.032731373,0.08491803,734.9236,0.6344373378433215
96.0,372.16034,0.043266483,0.056947686,734.9237,0.6327111940942126
97.0,371.4028,0.062208645,0.060480874,736.50604,0.6309404732876871
98.0,373.055,0.12332634,0.043194737,733.9903,0.6342164166416496
99.0,373.22693,0.0,0.054698717,734.6584,0.6340916813588364
100.0,372.45276,0.09657622,0.07993988,734.669,0.6331431342075763
101.0,372.9323,0.0,0.02403475,734.9955,0.6335843867003068
102.0,371.9115,0.082956456,0.033821978,736.86145,0.6313156830176069
103.0,374.32446,0.13346995,0.06327321,736.3089,0.634301737418264
104.0,372.96188,0.12003709,0.030573606,736.0228,0.6329585133549676
105.0,372.54913,0.0,0.053463526,735.1176,0.6330657375510301
106.0,374.90683,0.11457938,0.043161068,734.53546,0.6359928362257198
107.0,372.74625,0.06036529,0.015463212,734.655,0.633539728752499
108.0,373.1718,0.0,0.0,734.4515,0.6341793349473153
109.0,371.90363,0.0,0.020657428,735.6853,0.6320319580984803
110.0,372.8494,0.039772075,0.031774696,735.6097,0.6331127808530135
111.0,374.57617,0.086306,0.016360326,737.3596,0.6340385620759346
112.0,375.51044,0.0,0.038582377,736.19403,0.6357888703824559
113.0,372.71036,0.0,0.0,735.3806,0.6331277909979898
114.0,372.0849,0.0,0.001008276,736.9758,0.6315120691628449
115.0,371.76157,0.0,0.0,735.87634,0.6317743798008456
116.0,371.92505,0.0,0.0050074114,735.31445,0.6322767690979083
117.0,370.80396,0.021938745,0.017404942,736.5058,0.6303113593602389
118.0,372.15326,0.0,0.0,735.89624,0.632205102965863
119.0,371.76062,0.1912233,0.0134336995,736.7794,0.6311421147575353
120.0,372.91568,0.0,0.010130285,735.1368,0.6334928009543624
121.0,375.73865,0.0,0.041751243,735.57574,0.6363967385264686
122.0,373.44785,0.110169776,0.017272312,736.9656,0.6329811057651451
123.0,371.42395,0.15173338,0.043251418,732.9109,0.6329767960532636
124.0,372.08054,0.073548496,0.0002881306,735.6658,0.6322124240506457
125.0,372.76114,0.03776327,0.000510551,735.5481,0.6330674914937733
126.0,372.7096,0.11630612,0.0,734.3516,0.6336488398167789
127.0,374.12097,0.16040292,0.0,735.63544,0.6344785671895026
