day,S,I,R,E,H,C,Q,P,V,R_t
1463.0,6.456079959869385,0.0,3397.771240234375,0.0,0.0,0.0,0.0,0.0,186.9176788330078,0.016058154291617676
1464.0,6.317625795091901,0.0,3396.2743791852677,0.0,0.0,0.0,0.009252270417554038,0.0,186.8748038155692,0.015720141602055832
1465.0,6.179171630314419,0.0,3394.777518136161,0.0,0.0,0.0,0.018504540835108076,0.0,186.83192879813058,0.015382128912493985
1466.0,6.040717465536935,0.0,3393.2806570870534,0.0,0.0,0.0,0.027756811252662113,0.0,186.78905378069197,0.015044116222932141
1467.0,5.902263300759452,0.0,3391.7837960379466,0.0,0.0,0.0,0.03700908167021615,0.0,186.74617876325334,0.014706103533370296
1468.0,5.763809135981968,0.0,3390.286934988839,0.0,0.0,0.0,0.04626135208777019,0.0,186.70330374581474,0.01436809084380845
1469.0,5.6253549712044855,0.0,3388.7900739397323,0.0,0.0,0.0,0.055513622505324225,0.0,186.6604287283761,0.014030078154246605
1470.0,5.486900806427002,0.0,3387.293212890625,0.0,0.0,0.0,0.06476589292287827,0.0,186.6175537109375,0.01369206546468476
1471.0,4.904048425810678,0.04940180693353925,3389.048653738839,0.0,0.0869789719581604,0.0,0.09154645247118814,0.0,186.60158211844308,0.0122363188258868
1472.0,4.321196045194354,0.0988036138670785,3390.8040945870534,0.0,0.1739579439163208,0.0,0.11832701201949801,0.0,186.58561052594865,0.01078057218708884
1473.0,3.738343664578029,0.14820542080061777,3392.5595354352677,0.0,0.2609369158744812,0.0,0.14510757156780787,0.0,186.56963893345423,0.00932482554829088
1474.0,3.155491283961705,0.197607227734157,3394.3149762834823,0.0,0.3479158878326416,0.0,0.17188813111611775,0.0,186.55366734095983,0.00786907890949292
1475.0,2.5726389033453807,0.24700903466769625,3396.0704171316966,0.0,0.434894859790802,0.0,0.19866869066442763,0.0,186.5376957484654,0.00641333227069496
1476.0,1.989786522729056,0.29641084160123554,3397.825857979911,0.0,0.5218738317489624,0.0,0.22544925021273748,0.0,186.521724155971,0.0049575856318970005
1477.0,1.406934142112732,0.3458126485347748,3399.581298828125,0.0,0.6088528037071228,0.0,0.25222980976104736,0.0,186.50575256347656,0.0035018389930990407
1478.0,1.3335926192147392,0.42858671290533884,3399.3843819754466,0.16575488022395543,0.6348447203636169,0.0,0.27204681294304983,0.0,186.5484335763114,0.0033192516217552697
1479.0,1.2602510963167464,0.5113607772759029,3399.1874651227677,0.33150976044791086,0.6608366370201111,0.0,0.2918638161250523,0.0,186.5911145891462,0.0031366642504114983
1480.0,1.1869095734187536,0.5941348416464669,3398.990548270089,0.49726464067186626,0.6868285536766052,0.0,0.31168081930705477,0.0,186.63379560198103,0.0029540768790677274
1481.0,1.1135680505207608,0.676908906017031,3398.793631417411,0.6630195208958217,0.7128204703330994,0.0,0.33149782248905724,0.0,186.67647661481584,0.0027714895077239564
1482.0,1.0402265276227678,0.759682970387595,3398.5967145647323,0.8287744011197772,0.7388123869895935,0.0,0.35131482567105976,0.0,186.71915762765067,0.0025889021363801855
1483.0,0.966885004724775,0.842457034758159,3398.3997977120534,0.9945292813437325,0.7648043036460876,0.0,0.37113182885306223,0.0,186.76183864048548,0.002406314765036414
1484.0,0.8935434818267822,0.9252310991287231,3398.202880859375,1.160284161567688,0.7907962203025818,0.0,0.3909488320350647,0.0,186.8045196533203,0.002223727393692643
1485.0,0.7658944129943848,0.7930552278246199,3397.1209542410716,1.1515792608261108,0.9484386273792812,0.0,0.3350989988871983,0.0,186.76890345982142,0.0019060520517365513
1486.0,0.6382453441619873,0.6608793565205165,3396.0390276227677,1.1428743600845337,1.1060810344559806,0.0,0.2792491657393319,0.0,186.73328726632255,0.0015883767097804595
1487.0,0.5105962753295898,0.5287034852164132,3394.957101004464,1.1341694593429565,1.26372344153268,0.0,0.22339933259146555,0.0,186.69767107282365,0.0012707013678243675
1488.0,0.3829472064971924,0.39652761391230995,3393.875174386161,1.1254645586013794,1.4213658486093794,0.0,0.16754949944359915,0.0,186.66205487932478,0.0009530260258682757
1489.0,0.2552981376647949,0.2643517426082067,3392.7932477678573,1.1167596578598022,1.5790082556860787,0.0,0.11169966629573275,0.0,186.6264386858259,0.0006353506839121839
1490.0,0.12764906883239746,0.13217587130410335,3391.7113211495534,1.108054757118225,1.736650662762778,0.0,0.0558498331478664,0.0,186.59082249232702,0.0003176753419560918
1491.0,0.0,0.0,3390.62939453125,1.099349856376648,1.8942930698394775,0.0,0.0,0.0,186.55520629882812,0.0
1492.0,0.0,0.0,3390.8744070870534,1.0098633553300584,1.6236797741481235,0.0,0.0341387859412602,0.0,186.5840606689453,0.0
1493.0,0.0,0.0,3391.1194196428573,0.920376854283469,1.3530664784567696,0.0,0.0682775718825204,0.0,186.6129150390625,0.0
1494.0,0.0,0.0,3391.364432198661,0.8308903532368797,1.0824531827654158,0.0,0.1024163578237806,0.0,186.6417694091797,0.0
1495.0,0.0,0.0,3391.609444754464,0.7414038521902901,0.8118398870740617,0.0,0.1365551437650408,0.0,186.67062377929688,0.0
1496.0,0.0,0.0,3391.8544573102677,0.6519173511437008,0.5412265913827077,0.0,0.17069392970630098,0.0,186.69947814941406,0.0
1497.0,0.0,0.0,3392.0994698660716,0.5624308500971114,0.27061329569135384,0.0,0.2048327156475612,0.0,186.72833251953125,0.0
1498.0,0.0,0.0,3392.344482421875,0.47294434905052185,0.0,0.0,0.2389715015888214,0.0,186.75718688964844,0.0
1499.0,0.0,0.0,3392.7315499441966,0.40538087061473305,0.01558434750352587,0.0,0.20483271564756123,0.0,186.75821576799666,0.0
1500.0,0.0,0.0,3393.1186174665177,0.3378173921789442,0.03116869500705174,0.0,0.170693929706301,0.0,186.75924464634485,0.0
1501.0,0.0,0.0,3393.505684988839,0.2702539137431553,0.04675304251057761,0.0,0.1365551437650408,0.0,186.76027352469308,0.0
1502.0,0.0,0.0,3393.892752511161,0.20269043530736652,0.06233739001410348,0.0,0.10241635782378061,0.0,186.7613024030413,0.0
1503.0,0.0,0.0,3394.2798200334823,0.13512695687157772,0.07792173751762935,0.0,0.06827757188252043,0.0,186.76233128138952,0.0
1504.0,0.0,0.0,3394.6668875558034,0.06756347843578886,0.09350608502115522,0.0,0.034138785941260213,0.0,186.76336015973772,0.0
1505.0,0.0,0.0,3395.053955078125,0.0,0.10909043252468109,0.0,0.0,0.0,186.76438903808594,0.0
1506.0,0.4203959192548479,0.04515005009514945,3394.720772879464,0.031233044607298716,0.09350608502115522,0.0,0.0,0.0,186.7658190046038,0.0010480320367284902
1507.0,0.8407918385096959,0.0903001001902989,3394.3875906808034,0.06246608921459743,0.07792173751762935,0.0,0.0,0.0,186.76724897112166,0.0020960640734569804
1508.0,1.2611877577645438,0.13545015028544835,3394.0544084821427,0.09369913382189615,0.06233739001410348,0.0,0.0,0.0,186.76867893763952,0.003144096110185471
1509.0,1.6815836770193917,0.1806002003805978,3393.7212262834823,0.12493217842919487,0.04675304251057761,0.0,0.0,0.0,186.77010890415735,0.004192128146913961
1510.0,2.10197959627424,0.22575025047574723,3393.3880440848216,0.15616522303649358,0.031168695007051744,0.0,0.0,0.0,186.77153887067522,0.005240160183642451
1511.0,2.5223755155290877,0.2709003005708967,3393.054861886161,0.1873982676437923,0.015584347503525872,0.0,0.0,0.0,186.77296883719308,0.006288192220370942
1512.0,2.9427714347839355,0.31605035066604614,3392.7216796875,0.218631312251091,0.0,0.0,0.0,0.0,186.77439880371094,0.007336224257099432
1513.0,3.4131524903433665,0.29914705881050657,3393.056815011161,0.19422436239463942,0.0,0.0,0.011799878307751246,0.0,186.7881077357701,0.008505446556856807
