day,S,I,R,H,W,P,A,Q,R_t
1460.0,1344.3797781808037,0.0002740880123123393,0.6027502928461347,2.6051177976731717e-08,0.00010561409882419477,0.0,0.0,1.0159144169717495e-06,5.061707162454781
1461.0,1344.3805454799108,0.000326006263743953,0.6028330666678292,2.1937043800538247e-08,0.00011735042893893219,0.0,0.0,1.269893021214687e-06,5.061706655909331
1462.0,1344.381312779018,0.0003779245151755666,0.6029158404895237,1.7822909624344774e-08,0.0001290867590536696,0.0,0.0,1.5238716254576242e-06,5.06170614936388
1463.0,1344.382080078125,0.00042984276660718024,0.6029986143112183,1.37087754481513e-08,0.00014082308916840702,0.0,0.0,1.7778502297005616e-06,5.06170564281843
1464.0,1344.3835623604912,0.00036843665709186874,0.6012959224837167,1.1750378955558257e-08,0.0001222451355715748,0.0,0.0,1.5238716254576242e-06,5.061712285284611
1465.0,1344.385044642857,0.0003070305475765573,0.5995932306562152,9.791982462965214e-09,0.00010366718197474256,0.0,0.0,1.2698930212146867e-06,5.061718927750793
1466.0,1344.3865269252233,0.00024562443806124587,0.5978905388287136,7.833585970372172e-09,8.508922837791033e-05,0.0,0.0,1.0159144169717495e-06,5.061725570216973
1467.0,1344.3880092075892,0.00018421832854593437,0.596187847001212,5.8751894777791284e-09,6.65112747810781e-05,0.0,0.0,7.619358127288121e-07,5.061732212683154
1468.0,1344.3894914899554,0.00012281221903062288,0.5944851551737104,3.916792985186085e-09,4.793332118424587e-05,0.0,0.0,5.079572084858747e-07,5.0617388551493345
1469.0,1344.3909737723213,6.140610951531144e-05,0.5927824633462089,1.9583964925930434e-09,2.935536758741364e-05,0.0,0.0,2.5397860424293743e-07,5.061745497615516
1470.0,1344.3924560546875,0.0,0.5910797715187073,0.0,1.0777413990581408e-05,0.0,0.0,0.0,5.061752140081697
1471.0,1344.393031529018,0.0,0.5906627774238586,0.0,9.23778342049835e-06,0.0,0.00020674647696848427,0.0,5.061752932284705
1472.0,1344.3936070033483,0.0,0.59024578332901,0.0,7.698152850415291e-06,0.0,0.00041349295393696854,0.0,5.061753724487713
1473.0,1344.3941824776787,0.0,0.5898287892341614,0.0,6.158522280332233e-06,0.0,0.0006202394309054528,0.0,5.061754516690721
1474.0,1344.3947579520088,0.0,0.5894117951393127,0.0,4.618891710249175e-06,0.0,0.0008269859078739371,0.0,5.061755308893729
1475.0,1344.3953334263392,0.0,0.5889948010444641,0.0,3.079261140166117e-06,0.0,0.0010337323848424213,0.0,5.061756101096737
1476.0,1344.3959089006696,0.0,0.5885778069496155,0.0,1.5396305700830585e-06,0.0,0.0012404788618109056,0.0,5.061756893299745
1477.0,1344.396484375,0.0,0.5881608128547668,0.0,0.0,0.0,0.0014472253387793899,0.0,5.061757685502753
1478.0,1344.396728515625,0.0,0.5872467160224915,2.5291854959570107e-09,0.0,0.0,0.0012404788618109056,0.0,5.061761904128007
1479.0,1344.39697265625,0.0,0.5863326191902161,5.058370991914021e-09,0.0,0.0,0.0010337323848424213,0.0,5.0617661227532595
1480.0,1344.397216796875,0.0,0.5854185223579407,7.587556487871032e-09,0.0,0.0,0.0008269859078739371,0.0,5.061770341378513
1481.0,1344.3974609375,0.0,0.5845044255256653,1.0116741983828043e-08,0.0,0.0,0.0006202394309054528,0.0,5.061774560003767
1482.0,1344.397705078125,0.0,0.5835903286933899,1.2645927479785054e-08,0.0,0.0,0.0004134929539369686,0.0,5.06177877862902
1483.0,1344.39794921875,0.0,0.5826762318611145,1.5175112975742063e-08,0.0,0.0,0.0002067464769684843,0.0,5.061782997254273
1484.0,1344.398193359375,0.0,0.5817621350288391,1.7704298471699076e-08,0.0,0.0,0.0,0.0,5.0617872158795265
1485.0,1344.3989083426338,0.0,0.5812003101621356,1.7649785379246297e-08,1.3655114993785641e-05,0.0,1.13087407628752e-07,0.0,5.061789331025994
1486.0,1344.399623325893,0.0,0.5806384852954319,1.759527228679352e-08,2.7310229987571283e-05,0.0,2.26174815257504e-07,0.0,5.061791446172462
1487.0,1344.4003383091517,0.0,0.5800766604287284,1.7540759194340742e-08,4.096534498135692e-05,0.0,3.3926222288625597e-07,0.0,5.06179356131893
1488.0,1344.4010532924108,0.0,0.5795148355620248,1.7486246101887966e-08,5.4620459975142565e-05,0.0,4.52349630515008e-07,0.0,5.061795676465397
1489.0,1344.4017682756696,0.0,0.5789530106953212,1.7431733009435187e-08,6.82755749689282e-05,0.0,5.654370381437599e-07,0.0,5.061797791611864
1490.0,1344.4024832589287,0.0,0.5783911858286176,1.737721991698241e-08,8.193068996271384e-05,0.0,6.785244457725119e-07,0.0,5.061799906758332
1491.0,1344.4031982421875,0.0,0.5778293609619141,1.7322706824529632e-08,9.558580495649949e-05,0.0,7.916118534012639e-07,0.0,5.0618020219048
1492.0,1344.4041399274554,0.0,0.5775694336209979,1.646343049190234e-08,8.193068996271384e-05,0.0,0.00019735497629166536,0.0,5.061802261898887
1493.0,1344.4050816127233,0.0,0.5773095062800816,1.560415415927504e-08,6.82755749689282e-05,0.0,0.00039391834072992945,0.0,5.0618025018929735
1494.0,1344.4060232979912,0.0,0.5770495789391654,1.4744877826647747e-08,5.4620459975142565e-05,0.0,0.0005904817051681935,0.0,5.06180274188706
1495.0,1344.4069649832588,0.0,0.5767896515982491,1.3885601494020453e-08,4.096534498135692e-05,0.0,0.0007870450696064576,0.0,5.061802981881146
1496.0,1344.4079066685267,0.0,0.576529724257333,1.3026325161393158e-08,2.7310229987571286e-05,0.0,0.0009836084340447218,0.0,5.061803221875233
1497.0,1344.4088483537946,0.0,0.5762697969164167,1.2167048828765862e-08,1.3655114993785643e-05,0.0,0.0011801717984829857,0.0,5.06180346186932
1498.0,1344.4097900390625,0.0,0.5760098695755005,1.1307772496138568e-08,0.0,0.0,0.0013767351629212499,0.0,5.061803701863407
1499.0,1344.4104527064733,2.0688767628079014e-05,0.5757005895887103,9.69237642526163e-09,0.0,0.0,0.001377251381719751,1.13380208079304e-06,5.061804782829793
1500.0,1344.4111153738838,4.137753525615803e-05,0.57539130960192,8.076980354384692e-09,0.0,0.0,0.001377767600518252,2.26760416158608e-06,5.061805863796181
1501.0,1344.4117780412946,6.206630288423704e-05,0.5750820296151298,6.461584283507753e-09,0.0,0.0,0.0013782838193167532,3.4014062423791202e-06,5.0618069447625675
1502.0,1344.4124407087054,8.275507051231605e-05,0.5747727496283395,4.846188212630815e-09,0.0,0.0,0.0013788000381152546,4.53520832317216e-06,5.061808025728954
1503.0,1344.4131033761162,0.00010344383814039507,0.5744634696415493,3.2307921417538762e-09,0.0,0.0,0.0013793162569137557,5.6690104039652e-06,5.061809106695341
1504.0,1344.4137660435267,0.0001241326057684741,0.574154189654759,1.6153960708769381e-09,0.0,0.0,0.0013798324757122568,6.8028124847582405e-06,5.061810187661728
1505.0,1344.4144287109375,0.0001448213733965531,0.5738449096679688,0.0,0.0,0.0,0.001380348694510758,7.936614565551281e-06,5.061811268628115
1506.0,1344.4153878348213,0.0001241326057684741,0.5731457897594997,0.0,2.0717644864427192e-05,0.0,0.0012462204904295504,8.416497101799386e-06,5.061814482119872
1507.0,1344.4163469587054,0.00010344383814039508,0.5724466698510307,0.0,4.1435289728854385e-05,0.0,0.001112092286348343,8.896379638047489e-06,5.061817695611628
1508.0,1344.4173060825892,8.275507051231605e-05,0.5717475499425616,0.0,6.215293459328157e-05,0.0,0.0009779640822671354,9.376262174295594e-06,5.0618209091033854
1509.0,1344.4182652064733,6.206630288423704e-05,0.5710484300340924,0.0,8.287057945770877e-05,0.0,0.0008438358781859279,9.856144710543699e-06,5.061824122595142
1510.0,1344.419224330357,4.1377535256158034e-05,0.5703493101256234,0.0,0.00010358822432213597,0.0,0.0007097076741047204,1.0336027246791802e-05,5.061827336086899
1511.0,1344.4201834542412,2.068876762807901e-05,0.5696501902171544,0.0,0.00012430586918656315,0.0,0.0005755794700235128,1.0815909783039907e-05,5.061830549578655
1512.0,1344.421142578125,0.0,0.5689510703086853,0.0,0.00014502351405099034,0.0,0.0004414512659423053,1.1295792319288012e-05,5.061833763070412
1513.0,1344.420863560268,9.732554566913418e-05,0.5675221681594849,0.0,0.0001431636171348925,0.0,0.00037838679937911887,1.3028833044310367e-05,5.061839004841135
