day,S,I,P,R_t
131.0,3874.2489172731125,11960.07590157645,0.0,19.97426903131509
132.0,2865.1510051148284,12953.086351667132,0.0,14.771714005352873
133.0,1856.053092956543,13946.096801757812,0.0,9.569158979390659
134.0,3108.0935832432338,12895.295724051339,0.0,16.024240757845018
135.0,4360.1340735299245,11844.494646344865,0.0,22.479322536299378
136.0,5612.174563816616,10793.693568638393,0.0,28.934404314753735
137.0,6864.215054103306,9742.89249093192,0.0,35.38948609320809
138.0,8116.255544389997,8692.091413225446,0.0,41.84456787166245
139.0,9368.296034676689,7641.290335518974,0.0,48.29964965011681
140.0,10620.336524963379,6590.4892578125,0.0,54.75473142857117
141.0,9456.96859577724,7752.917619977678,0.0,48.7568142848468
142.0,8293.600666591099,8915.345982142857,0.0,42.758897141122425
143.0,7130.232737404958,10077.774344308036,0.0,36.76097999739805
144.0,5966.864808218821,11240.202706473214,0.0,30.763062853673677
145.0,4803.496879032679,12402.631068638393,0.0,24.765145709949305
146.0,3640.12894984654,13565.059430803572,0.0,18.76722856622493
147.0,2476.7610206604004,14727.48779296875,0.0,12.769311422500554
148.0,3606.6366844177246,13823.821086338588,0.0,18.594554188705953
149.0,4736.512348175049,12920.154379708427,0.0,24.419796954911348
150.0,5866.388011932373,12016.487673078263,0.0,30.245039721116747
151.0,6996.263675689697,11112.820966448104,0.0,36.070282487322146
152.0,8126.139339447022,10209.15425981794,0.0,41.895525253527545
153.0,9256.015003204346,9305.487553187779,0.0,47.720768019732944
154.0,10385.89066696167,8401.820846557617,0.0,53.54601078593834
155.0,9177.635855436327,9596.101706368583,0.0,47.31667261507691
156.0,7969.38104391098,10790.382566179549,0.0,41.08733444421547
157.0,6761.126232385635,11984.663425990513,0.0,34.85799627335404
158.0,5552.8714208602905,13178.944285801479,0.0,28.628658102492604
159.0,4344.616609334947,14373.225145612443,0.0,22.39931993163117
160.0,3136.3617978096013,15567.506005423409,0.0,16.169981760769737
161.0,1928.106986284256,16761.786865234375,0.0,9.940643589908296
162.0,3097.1368205887934,15601.935163225447,0.0,15.9677515312503
163.0,4266.166654893331,14442.083461216516,0.0,21.994859472592307
164.0,5435.196489197867,13282.23175920759,0.0,28.021967413934313
165.0,6604.226323502405,12122.380057198661,0.0,34.049075355276315
166.0,7773.256157806942,10962.528355189734,0.0,40.076183296618325
167.0,8942.285992111478,9802.676653180806,0.0,46.10329123796033
168.0,10111.315826416016,8642.824951171875,0.0,52.13039917930234
169.0,8896.396967315248,9899.023821149553,0.0,45.866703515685195
170.0,7681.47810821448,11155.222691127232,0.0,39.60300785206805
171.0,6466.559249113713,12411.421561104911,0.0,33.339312188450904
172.0,5251.640390012945,13667.620431082589,0.0,27.075616524833766
173.0,4036.721530912177,14923.81930106027,0.0,20.811920861216624
174.0,2821.80267181141,16180.018171037947,0.0,14.548225197599479
175.0,1606.8838127106428,17436.217041015625,0.0,8.284529533982335
176.0,2448.2010918727947,16561.154209681918,0.0,12.62206644333168
177.0,3289.5183710349456,15686.091378348214,0.0,16.95960335268102
178.0,4130.8356501970975,14811.02854701451,0.0,21.297140262030368
179.0,4972.152929359248,13935.965715680803,0.0,25.634677171379707
180.0,5813.4702085214,13060.902884347099,0.0,29.972214080729053
181.0,6654.787487683551,12185.840053013393,0.0,34.3097509900784
182.0,7496.104766845703,11310.777221679688,0.0,38.64728789942774
183.0,7183.524531773158,11616.598615373885,0.0,37.03573380403284
184.0,6870.944296700613,11922.42000906808,0.0,35.42417970863793
185.0,6558.364061628069,12228.241402762278,0.0,33.81262561324303
186.0,6245.783826555525,12534.062796456472,0.0,32.20107151784813
187.0,5933.203591482979,12839.88419015067,0.0,30.58951742245322
188.0,5620.623356410436,13145.705583844869,0.0,28.97796332705832
189.0,5308.043121337891,13451.526977539062,0.0,27.366409231663415
190.0,5764.933525085448,13017.464739118304,0.0,29.721975958827464
191.0,6221.823928833008,12583.402500697546,0.0,32.07754268599151
192.0,6678.714332580566,12149.340262276784,0.0,34.43310941315556
193.0,7135.604736328126,11715.278023856028,0.0,36.78867614031961
194.0,7592.495140075684,11281.215785435266,0.0,39.144242867483655
195.0,8049.385543823243,10847.153547014508,0.0,41.49980959464771
196.0,8506.2759475708,10413.09130859375,0.0,43.855376321811754
197.0,7797.525872366768,11099.298758370534,0.0,40.20130943546046
198.0,7088.775797162738,11785.506208147322,0.0,36.547242549109164
199.0,6380.025721958705,12471.713657924109,0.0,32.89317566275787
200.0,5671.275646754674,13157.921107700891,0.0,29.23910877640658
201.0,4962.525571550642,13844.128557477678,0.0,25.585041890055287
202.0,4253.77549634661,14530.336007254466,0.0,21.930975003703992
203.0,3545.025421142578,15216.54345703125,0.0,18.2769081173527
204.0,4652.129499162946,14091.469173295158,0.0,23.9847485716541
205.0,5759.233577183314,12966.394889559066,0.0,29.692589025955506
206.0,6866.337655203683,11841.320605822972,0.0,35.4004294802569
207.0,7973.441733224051,10716.24632208688,0.0,41.10826993455831
208.0,9080.54581124442,9591.172038350785,0.0,46.81611038885971
209.0,10187.649889264787,8466.097754614693,0.0,52.52395084316112
210.0,11294.753967285156,7341.023470878601,0.0,58.23179129746252
211.0,10033.28038072586,8627.6942250388,0.0,51.728075782051555
212.0,8771.806794166565,9914.364979199001,0.0,45.22436026664059
213.0,7510.333207607269,11201.0357333592,0.0,38.720644751229614
214.0,6248.859621047974,12487.706487519401,0.0,32.21692923581865
215.0,4987.386034488678,13774.3772416796,0.0,25.71321372040768
216.0,3725.912447929383,15061.047995839801,0.0,19.209498204996706
217.0,2464.4388613700867,16347.71875,0.0,12.705782689585739
218.0,3613.905996867589,15122.30473109654,0.0,18.632032214936956
219.0,4763.373132365091,13896.89071219308,0.0,24.558281740288173
220.0,5912.840267862592,12671.47669328962,0.0,30.48453126563939
221.0,7062.307403360095,11446.062674386161,0.0,36.41078079099061
222.0,8211.774538857597,10220.6486554827,0.0,42.337030316341824
223.0,9361.241674355097,8995.23463657924,0.0,48.26327984169304
224.0,10510.7088098526,7769.820617675781,0.0,54.18952936704426
225.0,9196.07693372454,9103.173880440849,0.0,47.41174834893492
226.0,7881.44505759648,10436.527143205914,0.0,40.63396733082559
227.0,6566.813181468418,11769.880405970982,0.0,33.856186312716254
228.0,5252.181305340358,13103.23366873605,0.0,27.07840529460692
229.0,3937.5494292122976,14436.586931501115,0.0,20.300624276497587
230.0,2622.9175530842367,15769.940194266183,0.0,13.52284325838825
