week,S,I,Q,R_t
51.0,3580.919,340.46777,82.67404,7.401198146182788
52.0,3582.1736,340.12387,82.851425,7.401779824415833
53.0,3581.2236,340.2431,82.707596,7.4016179480165984
54.0,3581.9292,340.09262,82.851166,7.401784727628105
55.0,3581.799,339.87027,82.9263,7.40202843226458
56.0,3583.0918,340.2874,82.62861,7.402089666369954
57.0,3581.8525,341.36386,82.78406,7.3995431587435965
58.0,3581.4778,340.52805,82.797,7.40098156580833
59.0,3582.2966,340.70624,82.77431,7.400873083824201
60.0,3582.2861,340.8752,82.86436,7.4003922581367085
61.0,3582.398,340.5611,82.842606,7.401037183296527
62.0,3582.3691,340.92465,82.75856,7.400514507327668
63.0,3582.3794,340.1291,82.73462,7.402030950707917
64.0,3582.1792,340.62735,82.890205,7.400779055776649
65.0,3581.32,340.1282,83.02832,7.401258563961453
66.0,3582.5552,339.62128,82.79056,7.402904458509946
67.0,3581.5864,340.64474,82.97818,7.4004548565235035
68.0,3581.9468,340.5858,82.62489,7.401295331056941
69.0,3582.0652,340.60107,83.02581,7.400552158181619
70.0,3582.6768,340.7831,82.92854,7.400529172436119
71.0,3580.8003,340.51752,82.859985,7.400736593850379
72.0,3582.8176,340.9573,82.65761,7.4007386421786725
73.0,3582.2507,340.74017,82.739334,7.4008649761671625
74.0,3582.3103,340.53827,82.56488,7.401573390701024
75.0,3581.96,341.16248,82.59674,7.400284684919928
76.0,3581.718,340.58264,82.92838,7.400690372916521
77.0,3581.807,340.76117,82.72158,7.400762032301716
78.0,3582.5227,340.12753,82.67206,7.402180705112114
79.0,3582.6826,340.29828,82.83476,7.401599409604615
80.0,3581.177,340.3151,82.74839,7.40139929075372
81.0,3582.565,340.19635,83.03771,7.4013870714869
82.0,3582.204,339.74005,82.61296,7.402936676593886
83.0,3581.8137,340.73865,82.869415,7.400531986921123
84.0,3582.6106,340.42773,82.95408,7.401124054984664
85.0,3581.5244,340.37225,82.9241,7.401044764736141
86.0,3580.9426,340.50266,82.643295,7.401195675276001
87.0,3581.5415,339.81375,82.670425,7.40254973164942
88.0,3581.973,340.22922,82.58245,7.402038450305801
89.0,3581.3516,340.23932,82.86212,7.401367251584037
90.0,3582.413,340.67352,82.75368,7.4009970736072646
91.0,3582.034,340.0187,82.97262,7.401719725774963
92.0,3582.363,340.08572,82.91445,7.401775187420748
93.0,3582.061,340.01205,82.76356,7.4021243208507075
94.0,3581.8025,340.4805,82.839745,7.401061354906403
95.0,3581.8066,340.5047,82.92798,7.400854499993024
96.0,3581.46,340.56595,82.91445,7.400690578303323
97.0,3581.3718,340.2506,82.75735,7.401544462629995
98.0,3581.8596,339.51068,82.881516,7.402789144604908
99.0,3581.4077,340.44226,82.830864,7.401062208857725
100.0,3582.1565,340.65982,82.944016,7.400614689489734
101.0,3582.054,340.8277,82.76793,7.400607453746298
102.0,3581.5676,340.13486,82.9879,7.4013750312171664
103.0,3580.8862,339.7836,82.89832,7.402041179786721
104.0,3582.4502,340.82312,83.04907,7.400183129413017
105.0,3581.2405,340.1309,82.739845,7.401769438883023
106.0,3582.2026,340.01758,82.70382,7.4022554123066335
107.0,3581.5662,340.92313,82.80759,7.4002512716442075
108.0,3581.839,340.15576,82.86887,7.401615643285917
109.0,3582.1528,339.9381,83.062744,7.401728062332437
110.0,3581.4685,340.8846,82.91939,7.400094516060893
111.0,3581.9338,340.2217,82.87045,7.401511521776498
112.0,3581.842,340.4442,82.81532,7.4011821738557835
113.0,3581.9856,340.99747,82.91298,7.40001091315039
114.0,3582.3271,340.7977,83.01249,7.4002707709131945
115.0,3581.7478,340.16107,82.769936,7.401768759314156
116.0,3581.9492,340.16266,82.87785,7.401610334080613
117.0,3581.8704,340.2335,82.75256,7.401693769734273
118.0,3582.0344,340.64044,82.675095,7.401120703694475
119.0,3581.4324,340.7376,82.86398,7.4004606045047465
120.0,3582.3196,341.19974,82.88742,7.399757523376584
121.0,3581.3171,340.93677,82.67284,7.400420616420049
122.0,3581.5498,340.6542,82.83296,7.400697703720637
123.0,3581.7954,340.85587,82.8827,7.400286875703679
124.0,3582.0178,340.46426,82.963394,7.400909904210629
125.0,3581.0183,340.51855,82.853676,7.4007939778162894
126.0,3582.223,340.66364,83.04096,7.40044304861895
127.0,3582.199,340.1684,82.87083,7.40166722679785
128.0,3581.6536,340.53778,82.96736,7.400687159923481
129.0,3581.8464,340.33313,82.92123,7.4011927064660155
130.0,3581.685,340.31186,82.78983,7.401439601281036
131.0,3581.8923,339.86526,82.75706,7.402370864024416
132.0,3582.0652,340.404,82.82358,7.401289969567801
133.0,3581.6426,340.48236,82.99577,7.400734665177114
134.0,3581.5574,340.1622,82.86195,7.401555031708145
135.0,3582.125,340.76157,83.03614,7.400249649162457
136.0,3582.842,340.8247,82.901,7.400539320710912
137.0,3581.7153,340.48682,83.1112,7.4005290525168395
138.0,3581.7842,340.50873,82.88704,7.400917798444507
139.0,3582.578,341.2766,82.81016,7.399814716308905
140.0,3581.4966,340.453,82.62931,7.401434267379985
141.0,3581.965,340.69553,82.869576,7.400644435668065
142.0,3581.8523,340.54095,82.92066,7.400811001621579
143.0,3582.6287,340.88586,83.02448,7.400151658714565
144.0,3582.6948,340.44537,82.832405,7.401334650899542
145.0,3581.933,340.3867,82.72087,7.401482909115942
146.0,3582.2112,339.88184,82.839645,7.402257120913964
147.0,3581.3835,341.2217,82.710556,7.399838962228001
148.0,3582.451,340.14166,82.78591,7.401928529790488
149.0,3581.5625,340.51514,82.78399,7.40104796524706
150.0,3582.7935,340.5448,82.90454,7.401039226568398
151.0,3581.0642,340.76343,82.921906,7.400225390724821
152.0,3581.8994,341.09537,82.936844,7.3997671403060785
153.0,3581.854,341.06363,82.85127,7.399973913158013
154.0,3581.5527,341.2719,82.86792,7.399492517207668
155.0,3581.8784,340.89957,82.76439,7.400442857348921
156.0,3581.8599,340.18958,82.83981,7.401611388389779
157.0,3582.0173,340.32108,82.86519,7.401355851175349
158.0,3581.9631,341.30396,82.99807,7.399282714534916
159.0,3581.2302,340.6217,82.75705,7.400828223983031
160.0,3583.1277,339.86105,82.91563,7.402354971355331
161.0,3581.9302,340.1545,82.614105,7.402108704747388
162.0,3581.7883,340.21893,82.91009,7.401411641353924
163.0,3581.527,341.11768,83.03662,7.3994601883309095
164.0,3581.3857,340.29318,82.90186,7.401201711506396
165.0,3582.5159,340.63266,82.87975,7.400862090173854
166.0,3582.166,340.4294,82.79691,7.401314281208962
167.0,3582.1619,340.74005,82.964676,7.400429472204433
168.0,3581.6409,340.6794,82.84608,7.400646788170885
169.0,3582.2732,340.96466,82.879295,7.400196602454193
170.0,3582.9011,340.48886,82.81792,7.40132610426785
171.0,3582.103,340.63898,82.77601,7.400951928649873
172.0,3582.9143,340.20184,82.94725,7.401620308642933
173.0,3582.2285,340.637,83.006676,7.400556834548062
174.0,3581.8496,340.72537,82.82732,7.400642140430501
175.0,3582.4111,340.39337,82.88758,7.401266857568641
176.0,3582.6384,340.62396,82.664375,7.401302831508353
177.0,3581.1516,340.63177,82.8381,7.400642656045965
178.0,3581.92,340.92648,82.962074,7.400036990951456
179.0,3582.2493,339.99475,82.72109,7.402275848476742
180.0,3581.7178,341.2284,82.82051,7.3996965814943385
181.0,3582.0952,340.3025,82.87299,7.401392774747491
182.0,3581.7146,340.49643,82.940735,7.400826104416526
183.0,3581.0916,340.84976,82.92784,7.400060871623156
184.0,3581.9216,340.62482,82.76328,7.400961988721902
185.0,3581.2593,340.64908,82.9814,7.4003693977325185
186.0,3581.6292,340.92484,82.71039,7.400441469694067
187.0,3581.7441,341.31763,82.81807,7.399542024955507
188.0,3581.531,340.23096,82.81463,7.401509665368595
189.0,3581.4902,340.17136,82.690414,7.401840521344568
190.0,3582.589,340.4175,82.77308,7.401472670032058
191.0,3581.8726,340.2755,82.97653,7.401202682660867
192.0,3581.848,340.15512,83.06114,7.401263421673332
193.0,3581.2795,340.58646,82.57576,7.40123919398709
194.0,3581.7944,340.18796,82.79841,7.401676619829724
195.0,3581.7734,340.29327,82.897354,7.401294535976725
196.0,3582.3845,340.26938,82.90732,7.401453685945094
197.0,3581.1519,340.3736,82.91862,7.400971040611553
198.0,3582.11,340.36963,82.870735,7.401276134907272
199.0,3581.487,340.0262,82.85905,7.401796407158113
200.0,3582.5083,340.2837,82.80207,7.401648730952382
201.0,3581.6528,340.5649,82.84899,7.4008555958798325
202.0,3582.655,340.74344,82.84622,7.4007497787059755
203.0,3582.4976,340.35684,82.95962,7.401220120748025
204.0,3582.3196,340.406,83.01065,7.400996134651134
205.0,3581.9856,340.1021,82.85071,7.401780339955998
206.0,3581.5366,340.16678,82.793976,7.401667684795519
207.0,3581.383,339.87277,83.10984,7.401593761060123
208.0,3581.8154,340.24442,82.82036,7.401536292804346
209.0,3580.6682,340.29657,82.90848,7.401026492850521
210.0,3582.688,340.72873,82.904884,7.400675784376479
211.0,3581.9338,340.96075,82.97289,7.39995673893322
212.0,3582.5862,340.32214,82.711494,7.401762041933601
213.0,3582.3523,340.09912,82.73966,7.402071103464154
214.0,3582.4087,340.20514,82.802025,7.401772234903328
215.0,3582.2366,340.44513,82.7549,7.401378279726787
216.0,3582.4163,340.2375,82.85816,7.401610373836597
217.0,3583.0198,340.46548,82.812386,7.4014054069661315
218.0,3581.2188,340.54352,82.91733,7.400674006784178
219.0,3581.1836,339.9195,82.90442,7.40184357599642
220.0,3582.6304,340.63358,82.66765,7.401277264727819
221.0,3581.162,339.90335,82.846985,7.401974906612656
222.0,3581.8306,340.7551,82.65982,7.400892545406978
223.0,3581.734,339.77463,82.93277,7.4021790403688446
224.0,3582.1235,340.33133,82.688354,7.401686871227348
225.0,3581.2136,340.12244,82.90806,7.4014682647552155
226.0,3581.7192,340.98218,82.75034,7.400281390481278
227.0,3582.6912,340.23068,82.89495,7.401614962433937
228.0,3581.8152,340.4235,82.843155,7.401163169457218
229.0,3582.6096,339.9587,83.12776,7.401669529435721
230.0,3582.769,339.9245,82.84923,7.402282225570651
231.0,3582.1545,340.50174,82.9506,7.400894162948452
232.0,3581.5159,340.84338,82.73663,7.400518719562916
233.0,3581.9536,340.80035,83.01011,7.400188624094916
234.0,3582.5325,340.45282,82.97965,7.401013403424363
235.0,3581.5715,340.7055,82.83163,7.400610125267381
236.0,3581.9185,340.8255,82.776344,7.400566360727138
237.0,3581.587,340.4447,82.95358,7.400870055256927
238.0,3581.6267,340.66537,82.88379,7.400599950073083
239.0,3582.0,340.19604,82.88655,7.40154364463655
240.0,3581.557,340.46198,82.807076,7.401102318499022
241.0,3581.9736,340.5031,82.67673,7.401358181471904
242.0,3581.262,340.48035,82.77116,7.401070333140162
243.0,3582.3928,340.52487,82.9271,7.400946879876397
244.0,3581.3162,341.24622,82.75542,7.399696071438738
245.0,3581.6953,340.88718,82.896416,7.400181804971472
246.0,3581.3086,340.06918,82.98285,7.401449190914967
247.0,3581.6382,340.81042,82.92072,7.400266211010319
248.0,3582.8596,340.3114,82.599976,7.402047613081913
249.0,3581.065,340.32874,83.01199,7.400862387170238
250.0,3582.901,340.2412,82.78416,7.401845982860886
