day,S,I,A,W,Q,V,C,E,R,P,R_t
849.0,1209.3223528180804,0.0,0.020985329257590432,0.007314450506653105,2.2951893957464824e-05,1540.3511788504463,0.0,0.0021345363929867744,5.724335329873221,0.0,5.349592743215145
850.0,1204.7592250279017,0.0,0.016788263406072344,0.0058515604053224835,3.442784093619724e-05,1549.6737409319196,0.0,0.0032018045894801617,5.64455338886806,0.0,5.320477874425724
851.0,1200.1960972377233,0.0,0.012591197554554259,0.004388670303991863,4.590378791492965e-05,1558.996303013393,0.0,0.004269072785973549,5.564771447862897,0.0,5.291363005636304
852.0,1195.6329694475446,0.0,0.008394131703036174,0.002925780202661242,5.737973489366206e-05,1568.3188650948662,0.0,0.005336340982466936,5.484989506857736,0.0,5.262248136846884
853.0,1191.0698416573662,0.0,0.004197065851518085,0.0014628901013306207,6.885568187239448e-05,1577.6414271763392,0.0,0.006403609178960323,5.4052075658525744,0.0,5.233133268057463
854.0,1186.5067138671875,0.0,0.0,0.0,8.033162885112688e-05,1586.9639892578125,0.0,0.0074708773754537106,5.325425624847412,0.0,5.204018399268042
855.0,1193.876743861607,0.0,0.0,0.0,6.885568187239446e-05,1578.7252197265625,0.0,0.006650158303922841,5.373908111027309,0.0,5.237951235525301
856.0,1201.2467738560267,0.0,0.0,0.0,5.737973489366206e-05,1570.4864501953125,0.0,0.005829439232391971,5.4223905972072055,0.0,5.2718840717825595
857.0,1208.6168038504463,0.0,0.0,0.0,4.590378791492964e-05,1562.2476806640625,0.0,0.0050087201608611,5.470873083387103,0.0,5.3058169080398185
858.0,1215.9868338448662,0.0,0.0,0.0,3.442784093619723e-05,1554.0089111328125,0.0,0.004188001089330231,5.519355569566999,0.0,5.339749744297078
859.0,1223.3568638392858,0.0,0.0,0.0,2.295189395746482e-05,1545.7701416015625,0.0,0.00336728201779936,5.567838055746896,0.0,5.373682580554337
860.0,1230.7268938337054,0.0,0.0,0.0,1.1475946978732404e-05,1537.5313720703125,0.0,0.0025465629462684903,5.616320541926792,0.0,5.407615416811595
861.0,1238.096923828125,0.0,0.0,0.0,0.0,1529.2926025390625,0.0,0.0017258438747376204,5.6648030281066895,0.0,5.441548253068854
862.0,1237.9305594308037,0.003921982965299061,0.00433609528200967,0.0,4.48585654209767e-06,1530.4303501674108,0.0,0.0037724517418869902,5.629483086722238,0.0,5.438966174855587
863.0,1237.764195033482,0.007843965930598122,0.00867219056401934,0.0,8.97171308419534e-06,1531.5680977957588,0.0,0.00581905960903636,5.594163145337786,0.0,5.436384096642319
864.0,1237.5978306361608,0.011765948895897185,0.013008285846029009,0.0,1.345756962629301e-05,1532.705845424107,0.0,0.00786566747618573,5.558843203953335,0.0,5.433802018429052
865.0,1237.4314662388392,0.015687931861196245,0.01734438112803868,0.0,1.794342616839068e-05,1533.8435930524554,0.0,0.0099122753433351,5.523523262568882,0.0,5.431219940215784
866.0,1237.265101841518,0.019609914826495305,0.02168047641004835,0.0,2.2429282710488352e-05,1534.9813406808037,0.0,0.01195888321048447,5.4882033211844305,0.0,5.428637862002517
867.0,1237.0987374441963,0.02353189779179437,0.026016571692058017,0.0,2.691513925258602e-05,1536.1190883091517,0.0,0.014005491077633839,5.452883379799979,0.0,5.426055783789249
868.0,1236.932373046875,0.02745388075709343,0.030352666974067688,0.0,3.1400995794683695e-05,1537.2568359375,0.0,0.01605209894478321,5.417563438415527,0.0,5.423473705575982
869.0,1233.0943777901787,0.02353189779179437,0.026468017271586826,0.00020382029470056295,2.6915139252586024e-05,1547.2609688895088,0.0,0.013758941952671324,5.420203277042934,0.0,5.395069818641406
870.0,1229.256382533482,0.01960991482649531,0.022583367569105964,0.0004076405894011259,2.2429282710488352e-05,1557.265101841518,0.0,0.011465784960559437,5.42284311567034,0.0,5.366665931706828
