week,S,I,P,D,E,R,Q,W,H,A,R_t
24.0,13.58955,24.705994,0.0,0.0,2.7773213,1973.5935,3.4028647,8.55386,496.95108,0.19621512,0.09709189674162329
25.0,11.33761,17.865757,0.0,0.0,0.8530373,1973.8656,3.1126966,6.5786576,497.5865,0.17507187,0.08100268360108673
26.0,10.891926,11.796562,0.0,0.0,1.3408107,1979.4171,2.8956695,5.2255573,499.11407,0.1557652,0.07781844345200607
27.0,19.82683,9.360843,0.0,0.0,0.24918288,1985.143,2.6510954,3.8530416,499.08716,0.14014915,0.14165475581292436
28.0,13.3484,5.8818216,0.0,0.0,0.9599789,1986.2476,2.4127471,2.9860935,499.40152,0.12508391,0.09536897004925929
29.0,13.375097,5.3203716,0.0,0.0,0.03354798,1975.8394,2.245935,2.296018,498.54504,0.10776624,0.09555970885128069
30.0,13.718263,2.7482095,0.0,0.0,0.63963425,1992.4767,2.0463598,1.7934954,500.02515,0.10395164,0.09801149241143954
31.0,10.170297,5.718802,0.0,0.0,0.0,1985.4098,1.8952532,1.3864028,500.5621,0.095869265,0.0726626931474647
32.0,15.054465,3.6652958,0.0,0.0,0.26312095,1986.037,1.7427357,1.090459,500.8615,0.081331074,0.10755812062983386
33.0,18.935154,0.6264018,0.0,0.0,1.280572,1982.6298,1.574837,0.8906916,500.49066,0.07432338,0.13528409260094185
34.0,15.494782,1.0070617,0.0,0.0,0.31124365,1983.754,1.4352827,0.6187837,500.50818,0.06972628,0.11070401457179864
35.0,21.706337,1.3979759,0.0,0.0,0.62256634,1988.5153,1.3474088,0.4918576,501.68362,0.063149005,0.15508307919840075
36.0,16.060253,0.14837085,0.0,0.0,1.0199484,1987.9219,1.2179601,0.39430594,498.88116,0.050193682,0.11474407021405497
37.0,19.897337,2.8011544,0.0,0.0,0.2707335,1994.5892,1.1049153,0.22591,500.52762,0.052374218,0.14215850725207818
38.0,20.106567,1.0584929,0.0,0.0,0.55768615,1987.6316,1.04113,0.1258992,499.58734,0.04973102,0.14365337310770765
39.0,26.813847,1.0684121,0.0,0.0,0.4834109,1985.5769,0.9568547,0.15797389,501.26407,0.044186346,0.19157418602056547
40.0,28.820406,1.6287684,0.0,0.0,1.1970099,1982.8071,0.84376407,0.20919803,499.72833,0.03391099,0.2059102625767625
41.0,26.681925,0.0,0.0,0.0,2.223348,1987.5032,0.7935972,0.10953778,499.98468,0.033772275,0.19063166464544268
