week,S,I,A,W,Q,V,C,E,R,P,R_t
78.0,1574.6464,0.015541553,0.013403576,0.0005372386,0.0005953771,1130.5902,0.0,0.0022499193,8.10666,0.0,7.072935538953641
79.0,1597.5188,0.0,0.0,0.0,0.0,1104.1033,0.0,0.022003774,8.205205,0.0,7.185009222087783
80.0,1589.303,0.018799229,0.0,0.006938101,8.139787e-05,1147.1421,0.0,0.03619334,8.008266,0.0,7.057788183116969
81.0,1626.6196,0.0,0.0,0.0,0.00015264034,1196.4666,0.0,0.0863866,8.155226,0.0,7.0020034719663125
82.0,1573.556,0.0,0.0,0.0,1.5654896e-06,1166.0371,0.0,0.012824151,7.981458,0.0,6.980028252712552
83.0,1594.123,0.017592767,0.004044891,0.007395511,0.00047425626,1171.0143,0.0,0.0,8.285361,0.0,7.005333290626611
84.0,1528.9863,0.014233872,0.0,0.0030286447,0.00015892014,1231.9761,0.0,0.017444123,7.7406073,0.0,6.730521627092208
85.0,1562.6492,0.025779037,0.0013498615,0.0,0.0,1223.5455,0.0,0.0,7.75419,0.0,6.816560596544772
86.0,1504.8538,0.005962079,0.004901465,0.0,0.00038223088,1175.3896,0.0,0.0,8.0173855,0.0,6.822563262229662
87.0,1523.519,0.0,0.006878692,0.012407987,0.00064740767,1234.2158,0.0,0.021573327,7.586311,0.0,6.714663087759339
88.0,1537.35,0.008479058,0.0,0.0,0.0,1201.9446,0.0,0.04919334,7.86282,0.0,6.820348670366002
89.0,1506.9562,0.0,0.0,0.004372068,0.00016600417,1233.0388,0.0,0.0068581644,7.562733,0.0,6.68465773034169
90.0,1485.5844,0.0,0.0,0.005416322,0.00033090098,1263.936,0.0,0.047807403,7.6534243,0.0,6.56677411429384
91.0,1530.2716,0.0,0.015309141,0.0023873453,0.00036457754,1243.5801,0.0,0.0,7.4476013,0.0,6.705711072768743
92.0,1523.1332,0.009294062,0.0,0.0,0.00031610052,1259.2454,0.0,0.0,7.3562384,0.0,6.654262890066676
93.0,1425.8339,0.0,0.0,0.0,0.0,1276.8098,0.0,0.0,7.5975857,0.0,6.411910627952441
94.0,1490.6652,0.0,0.0,0.00072138046,0.000110738765,1232.3215,0.0,0.0,7.2727885,0.0,6.6543041656878525
95.0,1490.8319,0.0,0.02442341,0.0,0.0,1279.9802,0.0,0.0,7.1923437,0.0,6.540612330729882
96.0,1453.0209,0.018264284,0.055436987,0.0,0.0001160095,1271.5214,0.0,0.0,7.31488,0.0,6.4822925395664415
97.0,1424.864,0.0,0.037916593,0.0030799708,0.0,1319.8037,0.0,0.018169723,7.01595,0.0,6.31091814975893
98.0,1442.3796,0.0,0.018817421,0.0027689736,0.0,1321.7001,0.0,0.0,6.883721,0.0,6.344133712865477
99.0,1418.2344,0.015256061,0.0,0.014184827,0.0,1319.6439,0.0,0.0,7.0682406,0.0,6.2970652344454985
100.0,1370.5652,0.0,0.044711642,0.0048254617,0.00016804803,1350.1005,0.0,0.018077254,6.8726163,0.0,6.124142790099016
101.0,1380.087,0.0,0.0,0.0,0.0,1298.7816,0.0,0.0,7.212309,0.0,6.26201158040542
102.0,1407.3444,0.0,0.0,0.0023080488,0.00029668762,1401.5111,0.0,0.0,6.574475,0.0,6.092311416859628
103.0,1353.6368,0.02515124,0.0,0.00974951,0.0,1433.4083,0.0,0.0013960839,6.5313187,0.0,5.905599090981242
104.0,1326.7035,0.004053806,0.04024988,0.00089583424,0.0004608113,1406.6195,0.0,0.06867517,6.54353,0.0,5.901371745206183
105.0,1365.3737,0.0,0.0029121933,0.0,0.0,1428.1005,0.0,0.0011122858,6.748048,0.0,5.9427148856311875
106.0,1345.5513,0.0,0.012798302,0.0,0.00012301678,1408.8495,0.0,0.0,6.373068,0.0,5.940101660828555
107.0,1321.7495,0.0,0.010840931,0.0,0.0,1360.5674,0.0,0.011283926,6.33206,0.0,5.991533220356676
108.0,1338.3185,0.030129958,0.03877651,0.0,0.0,1396.5499,0.0,0.0,6.5348363,0.0,5.949796687654286
109.0,1335.7998,0.046120245,0.0,0.0,0.0002504969,1385.5463,0.0,0.0,6.5789466,0.0,5.9679895439466115
110.0,1282.6531,0.0,0.035467602,0.0,0.00029595484,1474.9135,0.0,0.06082288,6.3768277,0.0,5.655765327070411
111.0,1305.8489,0.0,0.029619398,0.0,0.00020609745,1486.1741,0.0,0.0,5.98922,0.0,5.688073245789894
112.0,1276.7441,0.022759,0.0,0.016888058,0.0001803655,1451.4652,0.0,0.053095922,6.3487883,0.0,5.69024708966011
113.0,1236.9463,0.0,0.0,0.0,0.00044163587,1417.7446,0.0,0.021770077,6.0905333,0.0,5.665842541810293
114.0,1237.171,0.0,0.0,0.0,0.00058389164,1492.3639,0.0,0.0,5.9955864,0.0,5.512068086229519
115.0,1273.1117,0.03794771,0.051605914,0.0,0.0,1487.1997,0.0,0.01297124,5.9869175,0.0,5.608902461733711
116.0,1270.709,0.015290029,0.017130407,0.0,0.0,1502.2896,0.0,0.0022185822,5.9546647,0.0,5.572960219005027
117.0,1274.4039,0.0,0.0,0.009394247,0.00033454306,1499.8037,0.0,0.0,5.7481213,0.0,5.5872184734711885
118.0,1239.4532,0.03340657,0.0,0.0,0.00015459959,1523.6637,0.0,0.0,6.2228365,0.0,5.454753517776106
119.0,1230.2954,0.0,0.0,0.0,0.00044236032,1532.9724,0.0,0.0,6.1469383,0.0,5.414368626500992
120.0,1223.2151,0.0,0.0,0.007823363,0.0,1575.4944,0.0,0.023845578,5.655589,0.0,5.316074730382385
121.0,1218.4486,0.0,0.029379461,0.010240231,0.0,1521.706,0.0,0.0,5.883899,0.0,5.407822480793986
122.0,1186.5067,0.0,0.0,0.0,8.033163e-05,1586.964,0.0,0.0074708774,5.3254256,0.0,5.204018399268042
123.0,1238.0969,0.0,0.0,0.0,0.0,1529.2926,0.0,0.0017258439,5.664803,0.0,5.441548253068854
124.0,1236.9324,0.02745388,0.030352667,0.0,3.1400996e-05,1537.2568,0.0,0.016052099,5.4175634,0.0,5.423473705575982
125.0,1210.0664,0.0,0.003160119,0.0014267421,0.0,1607.2858,0.0,0.0,5.4360423,0.0,5.2246464970339455
126.0,1139.0878,0.027459634,0.053977184,0.0,0.00036553477,1624.3417,0.0,0.011831152,5.619352,0.0,5.01346956951667
127.0,1179.901,0.0,0.0,0.014771149,0.0,1560.5248,0.0,0.012384638,5.1877155,0.0,5.237580346017829
128.0,1202.9115,0.006396754,0.0,0.010463582,0.00028132583,1636.9535,0.0,0.0,5.378221,0.0,5.152758045052849
129.0,1189.3854,0.0,0.04210426,0.0,0.0,1644.303,0.0,0.0,5.277472,0.0,5.106019597164008
130.0,1169.6896,0.0028877521,0.0,0.010999932,0.00014450235,1588.7334,0.0,0.0,5.034358,0.0,5.15874270890329
131.0,1156.3864,0.0,0.0,0.0,0.0,1593.0598,0.0,0.0,5.187622,0.0,5.116412789903454
132.0,1164.8857,0.059661206,0.034354664,0.0,0.0,1693.6138,0.0,0.0,5.0746017,0.0,4.957778642391225
133.0,1101.935,0.0,0.0,0.00028595765,0.0007245477,1631.0375,0.0,0.0038961691,5.3403525,0.0,4.904544577285586
134.0,1149.6646,0.0,0.0,0.004091785,0.00010369959,1649.4159,0.0,0.0,4.7096424,0.0,4.9974921096009
135.0,1133.6531,0.0,0.0,0.0,0.00022171105,1676.2936,0.0,0.083754145,4.9148803,0.0,4.908362922789846
136.0,1111.9202,0.0,0.0,0.0,0.0,1626.4307,0.0,0.039363097,4.9368157,0.0,4.939949578725782
137.0,1185.8208,0.023389684,0.0,0.0,0.0,1596.502,0.0,0.0,4.5291524,0.0,5.185946319615392
138.0,1147.523,0.0,0.0050503775,0.0,0.0,1658.6234,0.0,0.026796846,4.8071995,0.0,4.975414609799025
139.0,1142.1805,0.0,0.001392232,0.0,0.0003339832,1671.4991,0.0,0.0075596967,4.7399926,0.0,4.939172025799814
140.0,1030.9338,0.008190182,0.0,0.0,0.0,1675.6012,0.0,0.022154957,4.845599,0.0,4.634062992691959
141.0,1031.0621,0.0,0.012363051,0.0026188386,0.00039574923,1697.5375,0.0,0.026683262,4.833432,0.0,4.597234103366048
142.0,1084.7198,0.019684846,0.0056032734,0.002347544,0.00041659523,1657.3354,0.0,0.0,4.78572,0.0,4.8128961164593935
143.0,1028.3,0.0,0.032217484,0.0029863024,0.0,1671.8188,0.0,0.006489391,4.7748365,0.0,4.633294683352868
144.0,1048.3059,0.03278843,0.0,0.0017755363,0.0,1713.1864,0.0,0.010722077,4.5104127,0.0,4.6190757807658445
145.0,1005.5942,0.0,0.03924471,0.0,0.00017863089,1666.2782,0.0,0.01943959,4.805144,0.0,4.578715261916557
146.0,1070.4597,0.0,0.0,0.002434951,0.0,1647.1248,0.0,0.065893866,4.7077475,0.0,4.792383489488652
147.0,954.4465,0.021230958,0.0,0.0008022889,0.0007819914,1783.1432,0.0,0.0,4.6814704,0.0,4.241936742611875
148.0,1029.3097,0.0,0.0,0.0,0.0,1728.322,0.0,0.014938046,4.4832625,0.0,4.541804639179522
149.0,999.16516,0.03566812,0.02180703,0.0,0.00039783213,1700.4039,0.0,0.0,4.557566,0.0,4.503264408385312
150.0,998.8556,0.036652192,0.0,0.014440085,0.00019130009,1727.0201,0.0,0.06227409,3.9937673,0.0,4.459349782884786
151.0,1061.2444,0.009715607,0.0,0.001194426,0.0,1742.0541,0.0,0.022503814,4.563695,0.0,4.60639447868406
152.0,972.8154,0.05305088,0.010763522,0.005250043,0.0,1741.9893,0.0,0.086598545,4.554532,0.0,4.359797695986679
153.0,964.5499,0.017715687,0.014805481,0.007871908,0.0,1822.0792,0.0,0.006635326,4.387273,0.0,4.211945239446391
154.0,942.51117,0.034997083,0.027303187,0.0041721337,0.00021372727,1821.4055,0.0,0.0,4.4639845,0.0,4.149324296118364
155.0,989.84235,0.005608781,0.0059607523,0.002069545,0.00050671893,1782.9525,0.0,0.0,3.9861956,0.0,4.344591932339109
156.0,928.79767,0.0,0.0,0.0,3.8851133e-05,1765.8712,0.0,0.032098614,4.125484,0.0,4.194426981718353
157.0,963.82263,0.0,0.0,0.0,0.0,1774.6525,0.0,0.0,4.153836,0.0,4.283083639175979
158.0,962.6663,0.030922486,0.013239528,0.0,0.0,1834.1083,0.0,0.02403353,4.1369796,0.0,4.1888257471820625
159.0,985.1019,0.0,0.019042376,0.0018019927,0.0,1787.229,0.0,0.053520642,3.861781,0.0,4.32460749614773
160.0,941.0693,0.0109526515,0.029428117,0.0069252267,0.00017405221,1854.1997,0.0,0.03354395,4.2009764,0.0,4.096951063696571
161.0,950.2856,0.0002457844,0.0,0.0031159183,0.0,1877.261,0.0,0.0,3.9343855,0.0,4.09041099275393
162.0,863.5723,0.0,0.0,0.005819653,0.00030629025,1864.7272,0.0,0.008242316,4.0359783,0.0,3.8520314611890134
163.0,927.1876,0.0,0.0,0.0054856176,0.0001841705,1758.6127,0.0,0.0,4.1678276,0.0,4.20094456818531
164.0,911.15015,0.0,0.004546172,0.0,0.00029969704,1835.3547,0.0,0.0,3.779179,0.0,4.037737866583608
