week,S,I,D,C,A,W,P,V,R_t
85.0,2901.1116,0.31888205,4.10793,0.0,4.1960444,0.23153852,0.0,1339.7098,6.478694190076732
86.0,2890.2568,0.330917,4.1431394,0.0,4.1960444,0.22949114,0.0,1297.6057,6.53596869855676
87.0,2890.7583,0.3116337,4.129251,0.0,4.1960444,0.22750558,0.0,1307.4838,6.520988034897351
88.0,2875.2117,0.34413537,4.0681977,0.0,4.1960444,0.22896339,0.0,1349.876,6.444701697227989
89.0,2842.6902,0.35738125,4.0975237,0.0,4.1960444,0.22443138,0.0,1344.0887,6.430023828016026
90.0,2832.0793,0.28428563,4.120719,0.0,4.1960444,0.22687575,0.0,1351.0277,6.41175155919235
91.0,2799.0254,0.31225443,4.1695976,0.0,4.1960444,0.2221777,0.0,1369.6165,6.358841208257908
92.0,2811.0576,0.27897078,4.159301,0.0,4.1960444,0.22402512,0.0,1340.6636,6.412226548864563
93.0,2771.2986,0.2734536,4.122322,0.0,4.1960444,0.22633347,0.0,1366.9913,6.342036821030604
94.0,2782.5168,0.26989508,4.2505093,0.0,4.1960444,0.22490253,0.0,1394.4268,6.308850679886979
95.0,2741.8862,0.3048573,4.205111,0.0,4.1960444,0.22170416,0.0,1416.597,6.244243386651773
96.0,2806.048,0.23361954,4.2170367,0.0,4.1960444,0.2212633,0.0,1437.2057,6.262938090158435
97.0,2731.823,0.25724542,4.202854,0.0,4.1960444,0.2207433,0.0,1395.3356,6.268565870111515
98.0,2771.4666,0.2628833,4.2342305,0.0,4.1960444,0.22130781,0.0,1434.9478,6.239828114099816
99.0,2724.9976,0.21419346,4.1813197,0.0,4.1960444,0.22132303,0.0,1456.1562,6.172303575060519
100.0,2715.6565,0.26119283,4.2905684,0.0,4.1960444,0.22106567,0.0,1492.1703,6.11212659210356
101.0,2700.1587,0.22662377,4.2964334,0.0,4.1960444,0.22059716,0.0,1516.3726,6.06476294779117
102.0,2712.0706,0.2587745,4.270922,0.0,4.1960444,0.21832079,0.0,1488.5645,6.114498721780407
103.0,2682.9575,0.23460615,4.2810645,0.0,4.1960444,0.2199059,0.0,1501.0684,6.07288330924716
104.0,2685.8872,0.21806173,4.2916055,0.0,4.1960444,0.21994378,0.0,1475.5205,6.1125472946067045
105.0,2622.5532,0.25782728,4.308528,0.0,4.1960444,0.2195747,0.0,1486.4448,6.044397783072985
106.0,2646.238,0.23880744,4.2315474,0.0,4.1960444,0.21629277,0.0,1521.7292,6.012815816513208
107.0,2609.557,0.16279127,4.2953463,0.0,4.1960444,0.21862903,0.0,1537.8096,5.9589989785379895
108.0,2643.6848,0.21430445,4.268822,0.0,4.1960444,0.21600153,0.0,1602.3534,5.896714001269629
109.0,2655.5146,0.20922598,4.3176265,0.0,4.1960444,0.21813886,0.0,1556.1543,5.971392337901215
110.0,2583.6143,0.18650168,4.282359,0.0,4.1960444,0.21837787,0.0,1547.509,5.922897087464525
111.0,2633.105,0.20039804,4.3209333,0.0,4.1960444,0.21663694,0.0,1553.2712,5.95674795661245
112.0,2600.3723,0.18952405,4.3377233,0.0,4.1960444,0.21653563,0.0,1584.5557,5.884747319001663
113.0,2518.178,0.18446414,4.3827205,0.0,4.1960444,0.21311834,0.0,1605.0078,5.78398976887691
114.0,2583.1816,0.18680169,4.308804,0.0,4.1960444,0.21228361,0.0,1598.2614,5.850714997247348
115.0,2540.1091,0.15329199,4.4035044,0.0,4.1960444,0.21499659,0.0,1676.6459,5.705076080007151
116.0,2524.211,0.1939716,4.3166747,0.0,4.1960444,0.21294667,0.0,1636.4309,5.745693676337654
117.0,2555.4402,0.15945172,4.28273,0.0,4.1960444,0.2134363,0.0,1658.9526,5.742714889016576
118.0,2471.9807,0.15551774,4.334875,0.0,4.1960444,0.21168037,0.0,1648.1991,5.682057430360808
119.0,2522.026,0.14813478,4.313608,0.0,4.1960444,0.21652092,0.0,1678.9133,5.685771775178828
120.0,2461.996,0.13691206,4.3319774,0.0,4.1960444,0.21246663,0.0,1646.8331,5.674749273543222
121.0,2505.9973,0.15953454,4.389475,0.0,4.1960444,0.21435049,0.0,1704.8212,5.636379680029717
122.0,2450.323,0.18130781,4.384794,0.0,4.1960444,0.21497683,0.0,1699.0513,5.592654168997706
123.0,2443.14,0.15224078,4.426441,0.0,4.1960444,0.2154413,0.0,1734.544,5.538550538892797
124.0,2432.7903,0.12752719,4.3824024,0.0,4.1960444,0.21433991,0.0,1762.7683,5.491648338195411
125.0,2466.145,0.171614,4.378837,0.0,4.1960444,0.21357478,0.0,1759.8634,5.5268131932825115
126.0,2414.2131,0.108946204,4.385271,0.0,4.1960444,0.21377441,0.0,1740.1655,5.503701551738676
127.0,2431.8865,0.12745728,4.4294505,0.0,4.1960444,0.21420215,0.0,1764.9686,5.487914095410057
128.0,2441.968,0.14684501,4.458567,0.0,4.1960444,0.21282184,0.0,1764.712,5.497782016544655
129.0,2387.567,0.12911095,4.4140873,0.0,4.1960444,0.21102002,0.0,1766.712,5.44306003882971
130.0,2417.459,0.16699648,4.3704023,0.0,4.1960444,0.21268083,0.0,1814.0573,5.410665586125519
131.0,2389.466,0.17694122,4.4101944,0.0,4.1960444,0.2138033,0.0,1838.4486,5.352551335941981
132.0,2354.8118,0.09086617,4.4368744,0.0,4.1960444,0.21251817,0.0,1822.1104,5.339363275688093
133.0,2333.1648,0.12023319,4.456437,0.0,4.1960444,0.21119945,0.0,1799.7131,5.346562636700243
134.0,2342.1099,0.1297759,4.4277396,0.0,4.1960444,0.21148068,0.0,1841.4814,5.302056313452023
135.0,2362.021,0.08779529,4.4414372,0.0,4.1960444,0.21099265,0.0,1800.7606,5.373887663740768
136.0,2332.5762,0.13313095,4.474115,0.0,4.1960444,0.21030024,0.0,1892.7548,5.228360415230719
137.0,2297.7737,0.13620399,4.415372,0.0,4.1960444,0.21297017,0.0,1840.2146,5.258945883960529
138.0,2281.598,0.08419347,4.4458175,0.0,4.1960444,0.21252629,0.0,1861.1486,5.215998159839098
139.0,2352.3164,0.047555614,4.4311943,0.0,4.1960444,0.21023372,0.0,1892.2107,5.248891510466884
140.0,2285.0918,0.11495407,4.4545207,0.0,4.1960444,0.2104611,0.0,1890.5856,5.182791411916779
141.0,2271.6208,0.11937036,4.5048203,0.0,4.1960444,0.21312468,0.0,1880.9827,5.180831212701318
