day,S,I,D,R_t
65.0,135.5360826764788,3919.9671282087056,0.0,0.5357255315603837
66.0,131.23880113874162,3921.473824637277,0.0,0.5187399186475178
67.0,126.94151960100447,3922.980521065848,0.0,0.5017543057346519
68.0,122.6442380632673,3924.4872174944194,0.0,0.48476869282178586
69.0,118.34695652553013,3925.993913922991,0.0,0.4677830799089199
70.0,114.04967498779297,3927.5006103515625,0.0,0.45079746699605394
71.0,113.05493753296987,3930.2171805245534,0.0,0.4468656265501399
72.0,112.0602000781468,3932.9337506975444,0.0,0.44293378610422585
73.0,111.06546262332371,3935.6503208705353,0.0,0.4390019456583118
74.0,110.07072516850063,3938.366891043527,0.0,0.43507010521239775
75.0,109.07598771367753,3941.083461216518,0.0,0.4311382647664837
76.0,108.08125025885447,3943.800031389509,0.0,0.42720642432056966
77.0,107.08651280403137,3946.5166015625,0.0,0.4232745838746556
78.0,110.35905245372227,3945.9075753348216,0.0,0.43620975957666974
79.0,113.63159210341317,3945.298549107143,0.0,0.44914493527868393
80.0,116.90413175310407,3944.6895228794647,0.0,0.46208011098069807
81.0,120.17667140279498,3944.0804966517853,0.0,0.4750152866827122
82.0,123.44921105248588,3943.471470424107,0.0,0.4879504623847264
83.0,126.72175070217678,3942.8624441964284,0.0,0.5008856380867405
84.0,129.99429035186768,3942.25341796875,0.0,0.5138208137887547
85.0,123.45527076721191,3945.1028878348216,0.0,0.48797441426402294
86.0,116.91625118255615,3947.9523577008927,0.0,0.46212801473929127
87.0,110.37723159790039,3950.8018275669638,0.0,0.43628161521455955
88.0,103.83821201324463,3953.6512974330362,0.0,0.4104352156898279
89.0,97.29919242858887,3956.5007672991073,0.0,0.38458881616509616
90.0,90.7601728439331,3959.3502371651784,0.0,0.35874241664036444
91.0,84.22115325927734,3962.19970703125,0.0,0.33289601711563277
92.0,87.11844490255628,3963.3231375558034,0.0,0.344347972012293
93.0,90.01573654583522,3964.446568080357,0.0,0.3557999269089533
94.0,92.91302818911416,3965.569998604911,0.0,0.3672518818056135
95.0,95.8103198323931,3966.693429129464,0.0,0.37870383670227376
