day,S,I,C,Q,E,R_t
119.0,1889.7559814453125,576.4610595703125,10.165804862976074,66.00949096679688,39.214168548583984,9.783013454195556
120.0,1888.8888462611608,577.5828944614956,10.70250906263079,66.90194048200335,38.8333009992327,9.77361992636479
121.0,1888.0217110770088,578.7047293526786,11.239213262285505,67.79438999720982,38.45243344988142,9.764226398534023
122.0,1887.154575892857,579.8265642438616,11.775917461940221,68.6868395124163,38.07156590053013,9.754832870703256
123.0,1886.2874407087054,580.9483991350446,12.312621661594935,69.57928902762276,37.69069835117885,9.745439342872487
124.0,1885.4203055245537,582.0702340262277,12.849325861249651,70.47173854282924,37.309830801827566,9.73604581504172
125.0,1884.5531703404017,583.1920689174107,13.386030060904368,71.36418805803571,36.92896325247629,9.726652287210953
126.0,1883.68603515625,584.3139038085938,13.922734260559082,72.25663757324219,36.548095703125,9.717258759380186
127.0,1881.8146275111608,584.8546752929688,14.353207179478236,72.84536852155414,36.20411900111607,9.710050372780575
128.0,1879.9432198660713,585.3954467773438,14.783680098397392,73.43409946986607,35.860142299107146,9.702841986180966
129.0,1878.071812220982,585.9362182617188,15.214153017316546,74.02283041817802,35.516165597098215,9.695633599581354
130.0,1876.200404575893,586.4769897460938,15.6446259362357,74.61156136648995,35.172188895089285,9.688425212981743
131.0,1874.3289969308037,587.0177612304688,16.075098855154856,75.2002923148019,34.828212193080354,9.681216826382132
132.0,1872.4575892857142,587.5585327148438,16.50557177407401,75.78902326311383,34.48423549107143,9.674008439782522
133.0,1870.586181640625,588.0993041992188,16.936044692993164,76.37775421142578,34.1402587890625,9.66680005318291
134.0,1870.259556361607,588.6889125279018,16.594539914812362,76.8888669695173,34.023350851876394,9.663934569935515
135.0,1869.9329310825892,589.2785208565848,16.253035136631556,77.39997972760882,33.90644291469029,9.66106908668812
136.0,1869.6063058035713,589.8681291852679,15.911530358450754,77.91109248570034,33.78953497750418,9.658203603440723
137.0,1869.2796805245537,590.4577375139509,15.57002558026995,78.42220524379185,33.67262704031808,9.65533812019333
138.0,1868.9530552455358,591.047345842634,15.228520802089147,78.93331800188336,33.55571910313198,9.652472636945934
139.0,1868.626429966518,591.6369541713169,14.887016023908343,79.44443075997489,33.43881116594587,9.649607153698538
140.0,1868.2998046875,592.2265625,14.545511245727539,79.9555435180664,33.321903228759766,9.646741670451142
141.0,1867.3745989118304,592.4569091796875,15.187024525233678,80.52410888671875,33.08259637015207,9.640940487555483
142.0,1866.4493931361608,592.687255859375,15.828537804739815,81.0926742553711,32.84328951154436,9.635139304659823
143.0,1865.5241873604912,592.9176025390625,16.470051084245952,81.66123962402344,32.603982652936665,9.629338121764164
144.0,1864.5989815848213,593.14794921875,17.11156436375209,82.22980499267578,32.36467579432896,9.623536938868503
145.0,1863.6737758091517,593.3782958984375,17.75307764325823,82.79837036132812,32.12536893572126,9.617735755972843
146.0,1862.748570033482,593.608642578125,18.39459092276437,83.36693572998047,31.88606207711356,9.611934573077184
147.0,1861.8233642578125,593.8389892578125,19.036104202270508,83.93550109863281,31.64675521850586,9.606133390181524
148.0,1860.3239920479912,594.3735264369419,18.97386278424944,84.42351313999721,31.474425179617747,9.601025742577994
149.0,1858.8246198381696,594.9080636160714,18.911621366228378,84.91152518136161,31.30209514072963,9.595918094974461
150.0,1857.3252476283483,595.4426007952009,18.84937994820731,85.39953722272601,31.129765101841517,9.59081044737093
151.0,1855.8258754185267,595.9771379743304,18.787138530186244,85.8875492640904,30.957435062953405,9.5857027997674
152.0,1854.3265032087054,596.5116751534598,18.724897112165177,86.3755613054548,30.78510502406529,9.58059515216387
153.0,1852.8271309988838,597.0462123325893,18.662655694144114,86.8635733468192,30.612774985177175,9.575487504560337
154.0,1851.3277587890625,597.5807495117188,18.600414276123047,87.3515853881836,30.440444946289062,9.570379856956807
155.0,1849.829624720982,598.0249720982143,18.723386219569615,87.83092716761998,30.335426603044784,9.564687227024324
156.0,1848.3314906529017,598.4691946847098,18.846358163016184,88.31026894705636,30.2304082598005,9.558994597091843
157.0,1846.8333565848213,598.9134172712054,18.969330106462753,88.78961072649274,30.125389916556223,9.55330196715936
158.0,1845.3352225167412,599.3576398577009,19.092302049909318,89.26895250592914,30.02037157331194,9.547609337226877
159.0,1843.8370884486608,599.8018624441964,19.215273993355886,89.74829428536552,29.915353230067662,9.541916707294394
160.0,1842.3389543805804,600.2460850306919,19.338245936802455,90.2276360648019,29.81033488682338,9.536224077361913
161.0,1840.8408203125,600.6903076171875,19.461217880249023,90.70697784423828,29.7053165435791,9.53053144742943
162.0,1840.0662841796875,601.0423148018973,19.58674921308245,91.22967093331474,29.59928103855678,9.526081124233835
163.0,1839.291748046875,601.3943219866071,19.712280545915878,91.75236402239118,29.49324553353446,9.521630801038238
164.0,1838.5172119140625,601.7463291713169,19.837811878749303,92.27505711146763,29.387210028512136,9.517180477842643
165.0,1837.74267578125,602.0983363560268,19.96334321158273,92.79775020054409,29.281174523489817,9.512730154647048
166.0,1836.9681396484375,602.4503435407366,20.088874544416154,93.32044328962054,29.175139018467494,9.508279831451453
167.0,1836.193603515625,602.8023507254464,20.214405877249582,93.84313637869698,29.069103513445175,9.503829508255857
168.0,1835.4190673828125,603.1543579101562,20.339937210083008,94.36582946777344,28.96306800842285,9.499379185060262
169.0,1835.6234654017858,603.3134242466518,20.91135515485491,94.75563049316406,28.870133536202566,9.495917350088543
170.0,1835.8278634207588,603.4724905831473,21.482773099626815,95.14543151855469,28.777199063982284,9.492455515116827
171.0,1836.032261439732,603.6315569196429,22.054191044398717,95.53523254394531,28.684264591762,9.488993680145109
172.0,1836.2366594587054,603.7906232561384,22.62560898917062,95.92503356933594,28.591330119541713,9.48553184517339
173.0,1836.4410574776787,603.949689592634,23.19702693394252,96.31483459472656,28.498395647321427,9.482070010201673
174.0,1836.6454554966517,604.1087559291294,23.768444878714426,96.70463562011719,28.405461175101145,9.478608175229956
175.0,1836.849853515625,604.267822265625,24.339862823486328,97.09443664550781,28.31252670288086,9.475146340258238
176.0,1835.6367885044642,604.4327218191964,24.246994018554688,97.46521650041852,28.368310110909597,9.4714947747647
