day,S,I,P,D,E,R,Q,W,H,A,R_t
812.0,78.93814086914062,0.36858710646629333,0.0,0.0,0.6501362472772598,1957.6037292480469,0.006697325734421611,0.10872329026460648,491.66038513183594,0.004797773901373148,0.5639813956244748
813.0,78.4079042162214,0.6348980920655387,0.0,0.0,0.5991978985922677,1958.146044049944,0.00659389331537698,0.13303037945713314,491.8936658586774,0.004460207785346678,0.5601930671405244
814.0,77.87766756330217,0.901209077664784,0.0,0.0,0.5482595499072757,1958.6883588518415,0.0064904608963323495,0.15733746864965983,492.126946585519,0.0041226416693202084,0.5564047386565741
815.0,77.34743091038295,1.1675200632640292,0.0,0.0,0.4973212012222835,1959.230673653739,0.006387028477287718,0.18164455784218653,492.3602273123605,0.0037850755532937395,0.5526164101726238
816.0,76.81719425746373,1.4338310488632746,0.0,0.0,0.4463828525372914,1959.772988455636,0.006283596058243087,0.2059516470347132,492.593508039202,0.003447509437267269,0.5488280816886735
817.0,76.28695760454451,1.70014203446252,0.0,0.0,0.3954445038522993,1960.3153032575335,0.006180163639198456,0.23025873622723989,492.8267887660435,0.0031099433212407996,0.5450397532047231
818.0,75.75672095162528,1.9664530200617654,0.0,0.0,0.34450615516730715,1960.857618059431,0.006076731220153826,0.2545658254197666,493.0600694928851,0.0027723772052143303,0.5412514247207728
819.0,75.22648429870605,2.2327640056610107,0.0,0.0,0.29356780648231506,1961.3999328613281,0.005973298801109195,0.27887291461229324,493.29335021972656,0.0024348110891878605,0.5374630962368224
820.0,76.56970732552665,2.571330623967307,0.0,0.0,0.2516295484134129,1961.7957589285716,0.006521816165851695,0.2668879819767816,493.3451483590262,0.0021654600111235462,0.5470598866978119
821.0,77.91293035234725,2.9098972422736034,0.0,0.0,0.20969129034451076,1962.1915849958148,0.007070333530594195,0.2549030493412699,493.39694649832586,0.0018961089330592326,0.5566566771588014
822.0,79.25615337916783,3.2484638605798994,0.0,0.0,0.16775303227560862,1962.587411063058,0.007618850895336696,0.24291811670575825,493.44874463762557,0.0016267578549949186,0.5662534676197909
823.0,80.59937640598842,3.5870304788861955,0.0,0.0,0.12581477420670645,1962.9832371303014,0.008167368260079196,0.23093318407024654,493.5005427769252,0.0013574067769306045,0.5758502580807804
824.0,81.942599432809,3.9255970971924916,0.0,0.0,0.08387651613780428,1963.3790631975446,0.008715885624821697,0.2189482514347349,493.5523409162249,0.0010880556988662907,0.5854470485417699
825.0,83.2858224596296,4.264163715498788,0.0,0.0,0.04193825806890217,1963.7748892647878,0.009264402989564198,0.20696331879922322,493.60413905552457,0.0008187046208019765,0.5950438390027594
826.0,84.6290454864502,4.602730333805084,0.0,0.0,0.0,1964.1707153320312,0.009812920354306698,0.19497838616371155,493.6559371948242,0.0005493535427376628,0.6046406294637489
827.0,83.9833186013358,4.098748258181981,0.0,0.0,0.04168688825198582,1962.851279122489,0.009548042501722063,0.1729459894954094,493.5253764561244,0.0005223303991702519,0.6000271695336147
828.0,83.3375917162214,3.5947661825588773,0.0,0.0,0.08337377650397164,1961.5318429129466,0.009283164649137428,0.15091359282710723,493.3948157174247,0.0004953072556028408,0.5954137096034806
829.0,82.691864831107,3.0907841069357733,0.0,0.0,0.12506066475595745,1960.2124067034042,0.009018286796552795,0.12888119615880506,493.2642549787249,0.0004682841120354299,0.5908002496733464
830.0,82.0461379459926,2.5868020313126703,0.0,0.0,0.16674755300794328,1958.8929704938614,0.00875340894396816,0.10684879949050291,493.1336942400251,0.00044126096846801896,0.5861867897432124
