week,S,I,D,R_t
235.0,0.0,4042.0674,0.0,0.0
236.0,0.8076847,4064.0688,0.0,0.0031924880605676957
237.0,13.625769,4059.8872,0.0,0.05385777920096778
238.0,1.2805332,4074.1855,0.0,0.005061488518626393
239.0,0.0,4078.366,0.0,0.0
240.0,0.0,4041.7983,0.0,0.0
241.0,5.9216094,4064.9888,0.0,0.023405998474901536
242.0,4.114868,4058.6465,0.0,0.016264598260191068
243.0,5.2203593,4032.6792,0.0,0.020634208391696576
244.0,18.119577,4065.271,0.0,0.07162019180998172
245.0,18.672134,4049.8188,0.0,0.07380425174516016
246.0,0.0,4041.3186,0.0,0.0
247.0,6.695193,4070.6143,0.0,0.026463696296085946
248.0,0.85229397,4045.3003,0.0,0.0033688124235509843
249.0,11.117102,4047.8955,0.0,0.04394191783582167
250.0,16.76662,4079.277,0.0,0.06627244074612344
