week,S,I,R,H,W,P,A,Q,R_t
96.0,1343.6099,0.0006595152,1.3751395,0.0,0.0,0.0,0.00033772993,0.0,5.0587963432760334
97.0,1343.6256,0.0,1.3665241,1.9819584e-08,8.0937105e-05,0.0,0.0,7.005609e-06,5.058832532584054
98.0,1343.628,0.0,1.3482898,7.704178e-09,2.0846255e-05,0.0,0.0012294828,3.343698e-05,5.058896402193911
99.0,1343.6503,0.0002541341,1.3365074,0.0,7.3401665e-05,0.0,0.0,1.5376476e-05,5.058944539803757
100.0,1343.6572,0.0006787774,1.3294885,6.050731e-09,0.0,0.0,0.00050677866,1.4626538e-05,5.058967465747561
101.0,1343.6649,0.00064020645,1.330631,5.4486415e-09,8.478815e-06,0.0,4.1978376e-05,1.1385544e-05,5.0589651026096405
102.0,1343.6677,0.0,1.3165321,3.893136e-09,4.61118e-05,0.0,0.0,1.0485808e-05,5.0590207133251415
103.0,1343.68,0.0,1.3055251,1.6365282e-09,0.0,0.0,0.001127024,0.0,5.059057960930277
104.0,1343.6943,0.0,1.2946777,0.0,0.0,0.0,0.0010425581,0.0,5.059099132135019
105.0,1343.705,7.543137e-05,1.287036,2.614992e-08,0.0,0.0,0.0004869142,0.0,5.059129720932768
106.0,1343.7084,0.0,1.2729673,0.0,3.3750737e-05,0.0,0.0,0.0,5.059184767474597
107.0,1343.7197,0.0,1.2695467,6.6493184e-09,0.0,0.0,0.0,2.7824772e-05,5.059197569814544
108.0,1343.7297,0.0,1.2553774,0.0,0.0,0.0,0.0,0.0,5.059251008412495
109.0,1343.74,0.0,1.2497284,0.0,0.0,0.0,0.0,1.4561296e-05,5.0592722385798
110.0,1343.7446,0.0,1.2384276,4.7753005e-08,1.6176373e-05,0.0,0.0,0.0,5.059314818364979
111.0,1343.7554,0.00069045514,1.2311493,0.0,6.271102e-06,0.0,3.260786e-05,8.915403e-06,5.059339480568417
112.0,1343.7709,1.9060146e-05,1.2222066,0.0,0.0,0.0,0.0,0.0,5.059375854786953
113.0,1343.7792,0.0,1.212562,0.0,2.0550087e-05,0.0,0.0,2.3464827e-06,5.059412225682975
114.0,1343.7823,0.0,1.2008996,0.0,0.0,0.0,0.0,1.9599813e-05,5.059456041770852
115.0,1343.7916,0.0005130124,1.192315,0.0,0.0001410867,0.0,0.00039695206,0.0,5.059485016586093
116.0,1343.7961,0.00061997294,1.1865069,0.0,3.7402835e-05,0.0,0.0,0.0,5.0595079711986655
117.0,1343.8096,0.0018847818,1.1790375,3.9569503e-08,2.2479238e-05,0.0,0.00031975063,2.4543822e-06,5.059530143748482
118.0,1343.821,0.0,1.1708736,0.0,2.7261904e-05,0.0,0.0004509389,1.6824438e-06,5.059567491573282
