week,S,I,C,Q,E,R_t
103.0,1701.2559,603.24854,128.23358,128.56364,26.205914,8.787088084332131
104.0,1696.1425,605.10077,131.1241,128.10736,25.741323,8.7650520266898
105.0,1690.5358,604.4297,129.98445,127.8725,25.400707,8.763161903213485
106.0,1698.5591,602.2666,131.3915,129.0178,25.660637,8.77523429676946
107.0,1697.0238,604.0238,131.62665,128.28497,25.660656,8.768237225142393
108.0,1697.6245,604.6335,134.75328,127.6082,25.42518,8.759742786723265
109.0,1693.327,604.8713,139.28033,126.973785,25.741852,8.73706305085404
110.0,1692.3171,603.1591,134.21803,127.60821,25.530472,8.756738892185298
111.0,1697.6793,602.8845,138.38374,127.48482,26.084126,8.751673231178138
112.0,1688.6525,607.55884,141.35556,127.39947,26.094006,8.710031408617086
113.0,1684.7186,604.91296,143.35498,127.54202,25.785149,8.705688813606349
114.0,1684.8113,602.0193,143.6335,126.93261,25.899332,8.71633789353072
115.0,1683.657,602.41925,145.07494,128.20192,25.698252,8.704451542849025
116.0,1683.6534,601.53705,146.36324,127.249886,25.807817,8.705914769257236
117.0,1686.3241,600.5868,144.9829,127.647224,25.686638,8.717645875127085
118.0,1680.581,601.8331,148.21454,127.460915,25.479055,8.693535243063907
119.0,1678.6685,605.0695,151.556,127.78378,25.358826,8.667310785098465
120.0,1678.6483,601.2714,151.44083,127.566216,26.245853,8.678149708043868
121.0,1679.3262,602.325,151.91574,126.690125,25.207138,8.680675040371348
122.0,1679.798,603.89624,154.32095,127.854034,25.766672,8.662436002147203
123.0,1676.6321,603.7635,158.14616,127.0709,25.251457,8.648685581610367
124.0,1679.2075,602.41815,157.09424,127.51236,25.617243,8.658677362136117
125.0,1674.8893,601.96954,154.83879,127.92581,25.75147,8.658039133210256
126.0,1667.2589,602.16156,158.06534,126.90466,25.5587,8.636720517186065
127.0,1672.3792,601.1184,162.30981,127.96204,26.131674,8.629955075979979
128.0,1672.8474,599.023,159.97928,127.721115,25.614014,8.648119837073402
129.0,1670.2936,599.20953,161.60426,126.984245,25.65858,8.639711824303914
130.0,1667.2235,602.3486,164.39539,127.66745,25.658205,8.612022596966609
131.0,1667.0426,602.2592,162.57431,127.16111,25.66306,8.619726273710194
132.0,1665.936,600.525,168.18478,127.11331,25.710531,8.604784945873856
133.0,1662.015,601.11914,166.16232,127.11404,25.455936,8.603162725042617
134.0,1665.31,602.7932,167.24953,126.86729,25.732382,8.599947079695145
135.0,1663.8756,601.041,167.9211,126.284294,25.51498,8.603561511059254
136.0,1662.7045,599.28094,171.24,127.114235,25.607489,8.593149930716502
137.0,1660.7694,599.69214,176.03038,127.33476,24.830978,8.574161976856518
138.0,1656.9363,600.427,175.66467,127.6445,25.1251,8.563834302017055
139.0,1657.7347,600.3002,176.37207,127.088936,25.969616,8.562437894147099
140.0,1652.7107,601.123,177.52435,127.38556,25.453634,8.547284307954788
141.0,1654.2927,600.3836,179.15234,127.012726,25.82366,8.54730363046405
142.0,1656.3649,599.41034,182.9607,126.70761,24.980576,8.545591124976905
143.0,1656.7277,600.31,181.22214,127.42095,25.501818,8.544960891439871
144.0,1648.1051,602.4702,181.49538,127.28446,25.75944,8.520440994178799
145.0,1644.1031,599.72003,184.09938,128.03674,25.159588,8.512909579419956
146.0,1645.6825,600.0886,185.35207,126.64182,25.461136,8.514136162643629
147.0,1646.1313,600.701,184.89766,127.74804,25.473778,8.510772912461267
148.0,1642.0283,600.8991,189.28697,126.3849,25.800426,8.491373126757129
149.0,1644.8627,598.02966,190.55219,125.88702,25.659853,8.504083445169567
150.0,1646.728,600.26984,192.08939,125.900444,25.62593,8.495250724753166
151.0,1639.9504,599.84985,191.20476,126.04437,25.536833,8.48658288180406
152.0,1643.9382,598.74866,194.09601,126.0091,25.324743,8.48904043875867
153.0,1647.6278,599.0097,197.99245,126.27503,25.338755,8.481460008729464
154.0,1639.208,602.1807,200.0632,126.70785,25.348707,8.44701687853171
155.0,1633.9344,601.4115,198.84843,126.120255,25.389822,8.44525395762603
156.0,1639.0515,599.8324,198.80165,125.91465,25.293608,8.461265708274626
157.0,1637.1318,599.05865,201.0817,126.21581,25.326649,8.451614230168236
158.0,1629.9343,597.5012,200.25194,126.09266,25.456379,8.44570494511186
159.0,1633.9868,597.57117,202.18301,126.79973,25.557459,8.444238822996446
160.0,1631.1903,598.89343,205.82077,126.82396,25.637857,8.422399933418605
161.0,1626.1919,599.27167,205.97507,126.65754,25.555021,8.411915092254738
162.0,1630.4069,597.8938,211.87712,126.283394,25.481012,8.406740711180973
163.0,1627.7292,598.1169,212.82175,125.648926,25.274027,8.400555156504941
164.0,1626.3407,597.5477,210.05107,126.60671,25.6504,8.404404772421447
165.0,1628.6765,599.5071,210.99931,125.79819,25.436499,8.40276120466696
166.0,1626.9895,597.9044,214.39577,126.073784,25.475351,8.392692733227294
167.0,1621.318,596.0773,214.86414,126.26496,25.715015,8.384794668985514
168.0,1621.9833,596.2498,214.58173,126.445435,25.744902,8.385750319157632
169.0,1616.1039,598.6908,214.51324,125.773346,25.776335,8.368780921802335
170.0,1620.9203,598.50397,217.13208,126.32648,24.915335,8.371209858732701
171.0,1618.867,597.06335,217.91533,125.75691,25.410652,8.369612674066678
172.0,1613.2443,595.2064,221.2239,126.7458,25.261549,8.351305330574194
173.0,1614.4263,597.19226,222.29088,126.39585,25.648407,8.343618634470836
174.0,1614.2263,597.4725,221.6963,125.97078,25.19041,8.347095803516419
175.0,1617.8329,600.18756,223.7052,126.0819,25.71061,8.336837474285273
176.0,1609.8129,597.9688,225.50388,126.46595,25.399864,8.322357847890261
177.0,1610.4521,595.7051,226.21771,127.00901,25.937216,8.32511597799389
178.0,1607.8326,596.7723,229.0062,126.26406,25.652134,8.310911944125126
179.0,1612.2236,595.9685,231.96237,126.81606,25.408743,8.311582197395218
180.0,1607.848,599.5404,232.46002,126.24637,25.424465,8.291775212990562
181.0,1608.2207,596.9789,233.18161,126.65226,24.957401,8.298591497155074
182.0,1608.101,596.7183,235.10806,125.02162,25.639307,8.296059990736559
183.0,1601.8387,593.9481,233.63068,126.18933,25.741213,8.293334674472039
184.0,1600.7769,596.51184,237.06178,126.064835,25.299156,8.273841551075057
185.0,1597.3406,594.9176,238.91922,125.50452,25.416822,8.267641707138475
186.0,1598.7881,596.683,238.0135,125.67922,25.1652,8.267992462658954
187.0,1602.2817,595.7781,242.79234,125.78873,25.245066,8.261900575893158
188.0,1597.693,595.7118,239.50626,126.36447,24.912212,8.262780962773647
189.0,1592.4866,596.11334,240.57376,125.941154,25.474113,8.247340320930029
190.0,1596.412,592.188,243.99794,126.42388,24.947817,8.256852887354786
191.0,1595.1643,592.6418,244.44765,125.60255,25.01208,8.253917416490811
192.0,1595.7567,594.2943,246.68283,126.055725,25.242346,8.240508649608836
193.0,1588.7567,592.088,248.78464,126.115776,25.796522,8.224987175416267
194.0,1592.731,593.54095,254.02463,125.765114,25.281141,8.214374957786305
195.0,1590.986,592.327,249.98035,125.59872,24.93535,8.229241676301402
196.0,1589.6296,593.0164,252.15468,125.17035,25.477255,8.217071313350667
197.0,1586.8026,594.50336,256.0155,125.03315,25.477276,8.194902936690438
198.0,1589.5685,594.05914,253.85779,125.6619,25.762884,8.205767831425495
199.0,1580.282,593.95996,254.77284,125.31265,25.422806,8.186794615017588
200.0,1582.5457,593.929,259.09763,126.01013,25.448812,8.175447677281506
201.0,1583.7437,593.967,260.1152,125.87463,25.03409,8.1762532453331
202.0,1581.0101,592.0692,258.38885,125.81902,24.99803,8.182526243425402
203.0,1583.566,594.2654,264.41608,125.41509,25.468716,8.161474730662436
204.0,1578.3204,592.99274,264.1913,125.691734,25.087536,8.15597669543219
205.0,1583.6862,593.4553,263.65475,125.42322,25.516174,8.166489179089151
206.0,1575.4517,596.6271,263.68243,125.31849,25.277151,8.140922340779767
207.0,1576.843,594.7278,267.5223,125.26007,24.318907,8.140824409226866
208.0,1569.496,594.1124,268.14886,125.378815,25.494629,8.121848121485673
209.0,1567.954,593.67706,272.33456,125.39791,25.223701,8.107726464791275
210.0,1568.2554,593.28253,275.2914,125.00785,24.804625,8.102843719357576
211.0,1571.1117,592.4635,270.60095,125.42748,25.084436,8.123737701128567
212.0,1562.7003,592.9832,275.9098,125.81856,25.13706,8.086937914024228
213.0,1570.9182,592.0678,273.5391,125.90933,25.000475,8.114114057601709
214.0,1570.3574,591.9691,276.25934,125.40195,25.287184,8.10545317108384
215.0,1561.9419,592.757,279.38974,125.382126,25.04798,8.076852540031243
216.0,1566.7212,594.049,278.00424,125.22255,25.437216,8.086187461647915
217.0,1563.0916,591.52185,280.93674,125.87245,25.099525,8.076537028945502
218.0,1565.6956,591.5345,283.8394,125.287155,25.010956,8.074865066288416
219.0,1565.9518,593.8456,280.17606,124.44773,25.224976,8.081554990116992
220.0,1551.5603,589.6695,285.10254,124.196075,25.109865,8.050831882651048
221.0,1561.831,594.78,289.30276,124.95962,24.879688,8.041325320062386
222.0,1560.0385,589.2912,284.7435,124.5434,24.926458,8.070056505676943
223.0,1551.0951,590.36017,287.32178,124.846794,25.285328,8.03820999834237
224.0,1551.375,590.424,287.31024,125.37389,25.162292,8.037365888267457
225.0,1557.8907,589.9489,289.81488,124.7864,25.458857,8.045379048925733
226.0,1553.1985,589.9838,293.24973,125.129425,24.897373,8.025615638039742
227.0,1555.9056,592.3828,293.72897,125.70051,24.989014,8.02022943800025
228.0,1551.2219,590.00244,295.41464,124.25283,25.293337,8.016250595961738
229.0,1548.3394,590.2033,297.098,124.178764,25.17876,8.005028454071619
230.0,1544.3547,590.5228,296.535,125.893036,24.818516,7.993314834616517
231.0,1549.5964,588.3094,298.39404,124.41449,24.907917,8.009593906783598
232.0,1547.7484,591.3348,299.46555,125.01574,25.210379,7.990299435919784
233.0,1542.173,589.07275,297.3635,124.50953,24.700773,7.995351254241753
234.0,1547.93,588.4948,300.1539,124.79328,25.053164,7.998496818394998
235.0,1547.2751,590.30725,304.03168,126.1097,25.079277,7.975446183276277
236.0,1542.893,589.4242,304.39996,124.51757,25.262873,7.972246001613876
237.0,1541.8721,591.08276,306.82245,124.52089,25.204063,7.957726711691412
238.0,1537.7638,588.9314,308.43246,125.13176,25.497263,7.948019892698104
239.0,1539.5061,590.1317,307.58243,125.31337,24.996843,7.951570490148823
240.0,1531.6057,588.20294,309.65378,124.81185,24.98307,7.936139057061727
241.0,1537.1993,588.5641,312.0736,124.25354,25.282778,7.940138122068453
242.0,1535.6437,589.82556,312.30627,125.35691,25.049238,7.929625355223233
243.0,1531.6355,588.6945,314.73276,124.28436,25.3858,7.919480889824619
244.0,1529.1407,590.92664,316.11447,124.07483,25.668362,7.902936596010499
245.0,1535.014,590.0822,318.23233,125.21691,25.330605,7.908973003821947
246.0,1530.7233,588.61334,319.21783,124.52606,24.978138,7.90459347388975
247.0,1526.3446,587.0709,317.5319,124.54949,25.23064,7.9043726468851485
248.0,1528.0623,584.95624,321.63998,124.28341,25.543169,7.901762863365009
249.0,1523.5798,590.5596,321.02057,123.78682,25.153719,7.879756236616798
250.0,1525.5353,589.5058,322.84286,124.43013,24.646278,7.881147429815435
