day,S,I,D,C,A,W,P,V,R_t
396.0,3306.471261160714,0.7785664881978717,3.6206978729793002,0.0,4.196044445037842,0.25965358529772076,0.0,927.9876796177456,7.394557800595595
397.0,3315.1381487165177,0.7789885657174247,3.6218179975237166,0.0,4.196044445037842,0.2592789445604597,0.0,934.8789934430804,7.386773012019872
398.0,3323.8050362723216,0.7794106432369777,3.6229381220681325,0.0,4.196044445037842,0.25890430382319857,0.0,941.7703072684152,7.378988223444148
399.0,3332.471923828125,0.7798327207565308,3.624058246612549,0.0,4.196044445037842,0.2585296630859375,0.0,948.66162109375,7.371203434868425
400.0,3324.439383370536,0.7753849795886448,3.6265930788857594,0.0,4.196044445037842,0.25855158482279095,0.0,942.8102678571429,7.377462992474824
401.0,3316.4068429129466,0.7709372384207589,3.6291279111589705,0.0,4.196044445037842,0.25857350655964445,0.0,936.9589146205357,7.383722550081223
402.0,3308.3743024553573,0.766489497252873,3.631662743432181,0.0,4.196044445037842,0.2585954282964979,0.0,931.1075613839286,7.389982107687621
403.0,3300.3417619977677,0.7620417560849871,3.634197575705392,0.0,4.196044445037842,0.25861735003335135,0.0,925.2562081473214,7.39624166529402
404.0,3292.3092215401784,0.7575940149171012,3.6367324079786028,0.0,4.196044445037842,0.2586392717702048,0.0,919.4048549107143,7.402501222900418
405.0,3284.276681082589,0.7531462737492153,3.639267240251814,0.0,4.196044445037842,0.2586611935070583,0.0,913.5535016741071,7.408760780506817
406.0,3276.244140625,0.7486985325813293,3.6418020725250244,0.0,4.196044445037842,0.25868311524391174,0.0,907.7021484375,7.415020338113216
407.0,3270.992431640625,0.7472690258707319,3.652492012296404,0.0,4.196044445037842,0.2583875613553183,0.0,908.4982561383929,7.410993993200661
408.0,3265.74072265625,0.7458395191601345,3.663181952067784,0.0,4.196044445037842,0.25809200746672495,0.0,909.2943638392857,7.406967648288106
409.0,3260.489013671875,0.744410012449537,3.6738718918391635,0.0,4.196044445037842,0.2577964535781315,0.0,910.0904715401786,7.402941303375551
410.0,3255.2373046875,0.7429805057389396,3.6845618316105435,0.0,4.196044445037842,0.25750089968953815,0.0,910.8865792410714,7.3989149584629965
411.0,3249.985595703125,0.7415509990283421,3.695251771381923,0.0,4.196044445037842,0.25720534580094473,0.0,911.6826869419643,7.3948886135504415
412.0,3244.73388671875,0.7401214923177447,3.705941711153303,0.0,4.196044445037842,0.25690979191235136,0.0,912.4787946428571,7.390862268637886
413.0,3239.482177734375,0.7386919856071472,3.7166316509246826,0.0,4.196044445037842,0.25661423802375793,0.0,913.27490234375,7.386835923725331
414.0,3239.313302176339,0.7361984934125628,3.7165256908961704,0.0,4.196044445037842,0.2562407638345446,0.0,920.4945242745536,7.374079815023623
415.0,3239.1444266183034,0.7337050012179783,3.7164197308676585,0.0,4.196044445037842,0.25586728964533123,0.0,927.7141462053571,7.361323706321915
416.0,3238.9755510602677,0.7312115090233939,3.7163137708391463,0.0,4.196044445037842,0.2554938154561179,0.0,934.9337681361607,7.348567597620207
417.0,3238.8066755022323,0.7287180168288094,3.716207810810634,0.0,4.196044445037842,0.2551203412669046,0.0,942.1533900669643,7.335811488918499
418.0,3238.6377999441966,0.726224524634225,3.7161018507821217,0.0,4.196044445037842,0.25474686707769123,0.0,949.3730119977679,7.323055380216791
419.0,3238.468924386161,0.7237310324396405,3.71599589075361,0.0,4.196044445037842,0.2543733928884779,0.0,956.5926339285714,7.310299271515083
420.0,3238.300048828125,0.7212375402450562,3.7158899307250977,0.0,4.196044445037842,0.2539999186992645,0.0,963.812255859375,7.2975431628133745
421.0,3238.073904854911,0.7131637419973101,3.7091531412942067,0.0,4.196044445037842,0.2539499955517905,0.0,961.1983119419643,7.301995084002406
422.0,3237.8477608816966,0.705089943749564,3.702416351863316,0.0,4.196044445037842,0.2539000724043165,0.0,958.5843680245536,7.306447005191437
423.0,3237.6216169084823,0.697016145501818,3.6956795624324252,0.0,4.196044445037842,0.25385014925684246,0.0,955.9704241071429,7.310898926380468
424.0,3237.3954729352677,0.6889423472540719,3.6889427730015347,0.0,4.196044445037842,0.2538002261093685,0.0,953.3564801897321,7.3153508475694995
425.0,3237.1693289620534,0.6808685490063259,3.6822059835706438,0.0,4.196044445037842,0.25375030296189444,0.0,950.7425362723214,7.319802768758531
426.0,3236.943184988839,0.6727947507585799,3.6754691941397533,0.0,4.196044445037842,0.25370037981442045,0.0,948.1285923549107,7.324254689947562
427.0,3236.717041015625,0.6647209525108337,3.6687324047088623,0.0,4.196044445037842,0.2536504566669464,0.0,945.5146484375,7.328706611136593
428.0,3235.3037458147323,0.6657989621162415,3.681281736918858,0.0,4.196044445037842,0.2535034843853542,0.0,946.9938180106027,7.3253897544425834
429.0,3233.890450613839,0.6668769717216492,3.693831069128854,0.0,4.196044445037842,0.2533565121037619,0.0,948.4729875837054,7.3220728977485745
430.0,3232.4771554129466,0.6679549813270569,3.70638040133885,0.0,4.196044445037842,0.2532095398221697,0.0,949.9521571568081,7.318756041054565
431.0,3231.0638602120534,0.6690329909324646,3.7189297335488454,0.0,4.196044445037842,0.2530625675405775,0.0,951.4313267299107,7.315439184360555
432.0,3229.650565011161,0.6701110005378723,3.7314790657588413,0.0,4.196044445037842,0.25291559525898527,0.0,952.9104963030134,7.312122327666545
433.0,3228.2372698102677,0.67118901014328,3.744028397968837,0.0,4.196044445037842,0.252768622977393,0.0,954.389665876116,7.308805470972536
434.0,3226.823974609375,0.6722670197486877,3.756577730178833,0.0,4.196044445037842,0.2526216506958008,0.0,955.8688354492188,7.305488614278526
435.0,3222.0043596540177,0.6676049317632403,3.758807216371809,0.0,4.196044445037842,0.2523352290902819,0.0,957.4787336077009,7.300156119648995
436.0,3217.184744698661,0.6629428437777928,3.7610367025647844,0.0,4.196044445037842,0.252048807484763,0.0,959.0886317661831,7.294823625019463
437.0,3212.3651297433034,0.6582807557923454,3.7632661887577603,0.0,4.196044445037842,0.2517623858792441,0.0,960.6985299246652,7.289491130389932
438.0,3207.5455147879466,0.6536186678068978,3.765495674950736,0.0,4.196044445037842,0.25147596427372526,0.0,962.3084280831473,7.2841586357604
439.0,3202.725899832589,0.6489565798214504,3.7677251611437117,0.0,4.196044445037842,0.25118954266820637,0.0,963.9183262416294,7.278826141130868
440.0,3197.9062848772323,0.6442944918360028,3.769954647336687,0.0,4.196044445037842,0.2509031210626875,0.0,965.5282244001116,7.273493646501336
441.0,3193.086669921875,0.6396324038505554,3.772184133529663,0.0,4.196044445037842,0.2506166994571686,0.0,967.1381225585938,7.268161151871805
442.0,3194.0968191964284,0.635847236428942,3.7691481794629778,0.0,4.196044445037842,0.2506007296698434,0.0,969.7105712890625,7.264238922251247
443.0,3195.1069684709823,0.6320620690073285,3.7661122253962924,0.0,4.196044445037842,0.2505847598825182,0.0,972.2830200195312,7.260316692630688
444.0,3196.117117745536,0.6282769015857151,3.763076271329607,0.0,4.196044445037842,0.25056879009519306,0.0,974.85546875,7.25639446301013
445.0,3197.127267020089,0.6244917341641018,3.760040317262922,0.0,4.196044445037842,0.25055282030786785,0.0,977.4279174804688,7.252472233389571
446.0,3198.1374162946427,0.6207065667424884,3.757004363196237,0.0,4.196044445037842,0.2505368505205427,0.0,980.0003662109375,7.2485500037690125
447.0,3199.1475655691966,0.6169213993208749,3.7539684091295515,0.0,4.196044445037842,0.2505208807332175,0.0,982.5728149414062,7.244627774148454
448.0,3200.15771484375,0.6131362318992615,3.750932455062866,0.0,4.196044445037842,0.25050491094589233,0.0,985.145263671875,7.240705544527896
449.0,3196.082275390625,0.6137633323669434,3.7621471200670515,0.0,4.196044445037842,0.2504636985915048,0.0,988.1144670758929,7.233381433675056
450.0,3192.0068359375,0.6143904328346252,3.773361785071237,0.0,4.196044445037842,0.2504224862371172,0.0,991.0836704799107,7.226057322822218
451.0,3187.931396484375,0.6150175333023071,3.784576450075422,0.0,4.196044445037842,0.2503812738827297,0.0,994.0528738839286,7.218733211969378
452.0,3183.85595703125,0.615644633769989,3.795791115079607,0.0,4.196044445037842,0.2503400615283421,0.0,997.0220772879464,7.211409101116539
453.0,3179.780517578125,0.6162717342376709,3.8070057800837924,0.0,4.196044445037842,0.25029884917395456,0.0,999.9912806919643,7.204084990263699
454.0,3175.705078125,0.6168988347053528,3.8182204450879778,0.0,4.196044445037842,0.250257636819567,0.0,1002.9604840959821,7.196760879410861
455.0,3171.629638671875,0.6175259351730347,3.829435110092163,0.0,4.196044445037842,0.25021642446517944,0.0,1005.9296875,7.189436768558021
456.0,3168.8626883370534,0.6163134319441659,3.830511604036604,0.0,4.196044445037842,0.24958520914827073,0.0,1008.3466535295759,7.183765025404306
457.0,3166.0957380022323,0.6151009287152972,3.831588097981044,0.0,4.196044445037842,0.24895399383136205,0.0,1010.7636195591518,7.178093282250591
458.0,3163.328787667411,0.6138884254864284,3.832664591925485,0.0,4.196044445037842,0.24832277851445334,0.0,1013.1805855887277,7.172421539096876
459.0,3160.561837332589,0.6126759222575596,3.8337410858699252,0.0,4.196044445037842,0.24769156319754465,0.0,1015.5975516183036,7.166749795943161
460.0,3157.7948869977677,0.6114634190286908,3.834817579814366,0.0,4.196044445037842,0.24706034788063594,0.0,1018.0145176478794,7.161078052789446
461.0,3155.0279366629466,0.6102509157998222,3.8358940737588063,0.0,4.196044445037842,0.24642913256372725,0.0,1020.4314836774554,7.155406309635731
462.0,3152.260986328125,0.6090384125709534,3.836970567703247,0.0,4.196044445037842,0.24579791724681854,0.0,1022.8484497070312,7.149734566482016
463.0,3151.383370535714,0.6011099219322205,3.8360937322889055,0.0,4.196044445037842,0.2456296192748206,0.0,1020.7593906947544,7.152847580490454
