week,S,I,D,H,C,Q,E,R,R_t
118.0,0.18748425,3.472388,1526.9147,0.14260544,76.631744,0.0,3.0560455,2398.3257,0.0003902250575205647
119.0,13.300178,0.13508007,1530.1859,0.0,75.89503,0.0,0.030681198,2422.4404,0.02768265965810619
120.0,3.7390635,0.28097844,1531.0768,0.16599154,76.575905,0.0,1.6718416,2413.0015,0.00778239384907857
121.0,3.2327971,7.864418,1524.2516,0.1545763,76.03158,0.0,0.03540403,2407.6143,0.006728663514305372
122.0,4.085774,1.3678846,1547.2422,6.16091,74.89733,0.0,1.2601067,2362.5903,0.00850402859789372
123.0,3.1634648,1.5138754,1513.8608,0.7978536,75.258736,0.0,1.327085,2408.2966,0.006584357186353418
124.0,3.6088567,0.4686254,1547.7462,3.2677453,75.68935,0.0,2.4306483,2373.2664,0.0075113846028405035
125.0,4.948329,2.2763386,1497.908,0.8189868,75.29913,0.0,13.830971,2377.7415,0.010299328489431258
126.0,5.0740576,0.5912265,1532.5128,0.22398578,73.182274,0.0,0.9845823,2399.496,0.010561017748483507
127.0,16.745226,0.70758444,1555.4784,6.5273933,75.15113,0.0,0.42570022,2416.4888,0.03485309481859325
128.0,0.7808296,1.9187804,1540.1067,1.9993261,74.361336,0.0,0.49575981,2398.087,0.0016251993109305252
129.0,3.832571,0.7986534,1509.4146,3.8641822,74.31998,0.0,0.0,2400.2222,0.007977018094654526
130.0,2.865242,10.211407,1513.5801,12.418532,74.611404,0.0,0.26993144,2383.074,0.005963643501378792
131.0,0.022966713,0.049808472,1532.5636,0.24165273,74.61373,0.0,5.558659,2390.3538,4.7802345075882745e-05
132.0,2.2736595,0.11496777,1524.9558,3.8474243,73.23551,0.0,0.55063754,2399.2139,0.004732338311419113
133.0,1.2795458,2.9460483,1506.8911,0.013165896,71.64868,0.0,3.6674209,2375.0085,0.0026632147414531863
134.0,5.488027,0.9928601,1510.2275,1.2440579,72.500175,0.0,1.7026794,2399.1123,0.011422643085495274
135.0,55.011204,6.336818,1535.3616,2.0730984,73.41607,0.0,4.122723,2398.345,0.11449894992236888
136.0,1.2356122,0.10154818,1513.75,0.942853,73.35689,0.0,0.5663007,2399.1357,0.002571772337055149
137.0,0.1919426,5.780345,1539.907,0.052398868,73.45016,0.0,8.62143,2385.6924,0.00039950456249696645
138.0,0.33920386,4.5365877,1519.4761,0.35649395,71.584564,0.0,0.8284243,2393.5142,0.000706010493385079
139.0,39.122337,0.051302955,1518.4858,0.24888143,71.137115,0.0,0.9583314,2373.9854,0.08142826067971154
140.0,0.9241826,2.2858753,1532.845,4.448882,71.172714,0.0,0.3172522,2370.2122,0.0019235706521174207
141.0,3.237328,1.4602275,1540.3373,3.585053,72.08517,0.0,0.7612742,2376.3833,0.0067380940618764025
142.0,3.5755434,0.02827409,1519.4127,3.0213494,71.493965,0.0,0.47132236,2408.5583,0.007442046964328486
143.0,4.5214953,1.1275803,1527.8535,0.6274235,70.47862,0.0,2.9850783,2397.2192,0.009410928037840197
144.0,0.0,1.2387644,1517.5934,0.901109,72.064476,0.0,3.1200736,2399.8035,0.0
145.0,6.450063,16.317585,1525.864,0.81691295,70.67974,0.0,2.1226974,2412.4595,0.013425001308012588
146.0,14.469734,3.7143846,1540.182,0.5039924,68.85819,0.0,10.417257,2405.9363,0.030116945147334914
147.0,0.46683896,0.5693202,1525.9845,7.2938366,69.63556,0.0,1.2114488,2423.979,0.0009716669932006577
148.0,18.125986,1.4409834,1528.2683,0.4772935,70.31307,0.0,0.9870368,2421.72,0.0377269770026637
149.0,8.09032,0.51968807,1525.0483,0.048294283,69.28221,0.0,11.26785,2416.4639,0.016838988830042333
150.0,1.233243,3.3958418,1521.4838,1.617563,68.80855,0.0,2.8745446,2403.9553,0.0025668413080726102
151.0,31.9683,0.688058,1503.7,0.1958108,69.98156,0.0,4.9788866,2393.444,0.06653802486909748
152.0,35.94876,11.766868,1523.9086,0.021111663,69.59561,0.0,1.2143538,2420.3745,0.07482285673122187
153.0,0.13455749,2.5240538,1532.8031,0.24692407,68.86794,0.0,2.2894044,2396.3962,0.0002800646064844825
154.0,11.0164385,0.7258607,1534.4757,0.7580925,69.06193,0.0,1.1360397,2363.65,0.022929341282109786
155.0,11.103978,0.14024384,1546.1134,0.32837266,68.22996,0.0,0.0,2418.8462,0.023111543845101317
156.0,19.980385,0.5844376,1546.4132,6.2462034,67.851395,0.0,6.4564395,2412.7388,0.041586674970966304
157.0,2.7454238,0.057353925,1529.9691,1.4325085,68.14315,0.0,4.730091,2418.1084,0.005714256855536753
158.0,7.9942646,6.4418836,1543.4177,1.2582597,67.284645,0.0,7.1257367,2413.0405,0.016639064167944143
159.0,1.9786528,0.52798605,1525.8167,0.014724098,67.85304,0.0,0.0,2422.3987,0.004118318961418019
160.0,3.5919347,0.40531218,1548.8901,1.8823136,69.21634,0.0,0.29071552,2403.3591,0.0074761633305601
161.0,7.2801795,4.0539055,1521.8075,1.405274,67.58208,0.0,5.016732,2418.9905,0.01515278495019793
162.0,0.6327815,4.7250943,1534.3489,0.06414062,67.096214,0.0,0.0,2417.8784,0.0013170557619611538
163.0,0.53621143,9.398592,1544.8278,8.727977,68.330536,0.0,0.004023982,2389.5293,0.001116057146691597
164.0,6.2481694,0.13533561,1523.6187,2.9983628,65.99527,0.0,0.014357575,2382.1785,0.01300478449465645
165.0,5.4650164,4.793527,1530.9073,3.6734853,67.5481,0.0,5.2193284,2411.1238,0.01137474936275133
166.0,7.9529576,0.080776796,1545.4117,0.19987877,65.95322,0.0,3.563248,2380.8528,0.016553088365693802
167.0,12.245769,1.4467511,1544.6013,5.212148,66.61867,0.0,2.457397,2383.4897,0.02548803813774463
168.0,21.543003,0.1529026,1519.7959,4.376954,67.55008,0.0,2.8304012,2424.6887,0.04483906918496316
169.0,14.726468,0.19399317,1537.2351,0.074538946,66.687614,0.0,5.742682,2403.6055,0.030651305190956813
170.0,7.622422,0.52123016,1519.6044,1.4417236,67.02468,0.0,3.054697,2395.6057,0.015865121042333754
171.0,0.81873447,0.39270428,1517.055,3.9025967,65.538536,0.0,1.5243347,2412.055,0.001704093572608355
172.0,3.538538,8.175247,1537.5939,1.1192787,66.173355,0.0,4.6154275,2407.6963,0.007365024824444014
173.0,15.441898,0.0,1527.4025,3.4060717,64.88178,0.0,0.0,2385.942,0.03214038320938144
174.0,0.31953093,2.039937,1520.2306,0.36546656,66.406364,0.0,0.17577738,2447.8066,0.0006650637607981309
175.0,5.755691,5.0352435,1508.5157,2.330336,63.466904,0.0,2.907716,2360.906,0.011979751818740092
176.0,45.640045,1.9172666,1543.0502,7.911591,63.989567,0.0,1.3606163,2410.8577,0.09499405521068295
177.0,3.969029,2.0277553,1512.2548,0.50433624,64.64434,0.0,2.2883644,2422.2478,0.008261037970146913
178.0,2.5671988,0.061872184,1515.6573,3.549527,63.73845,0.0,0.18854663,2391.217,0.005343303685593869
179.0,3.0236013,4.611025,1521.146,0.5539826,63.795876,0.0,4.695106,2411.914,0.006293248342212722
180.0,11.594638,0.97653,1520.0044,0.065488346,62.856903,0.0,11.582179,2403.1404,0.02413279111604654
181.0,6.176998,1.6883353,1542.1863,3.5986369,63.595963,0.0,1.392042,2435.337,0.012856649934755321
182.0,0.15392524,1.4767528,1529.9755,10.384981,62.978306,0.0,6.145741,2391.6914,0.0003203761692908508
183.0,6.0013285,3.5609667,1531.02,0.5326938,62.96422,0.0,8.089128,2395.611,0.012491015976366966
184.0,34.064743,0.5333227,1537.5677,0.35853973,62.92567,0.0,8.927562,2401.2236,0.07090150807596016
185.0,37.2652,2.0608392,1529.8444,8.360547,64.83998,0.0,7.0690956,2390.788,0.07756286673076647
186.0,32.826168,0.2903719,1531.3002,2.2271245,62.505177,0.0,3.2921877,2388.4558,0.06832356448583611
187.0,3.0626888,4.0137377,1530.1521,2.938029,62.589516,0.0,8.965421,2412.987,0.006374604598190039
188.0,1.0956502,1.3260889,1521.5146,10.733931,62.308765,0.0,8.619547,2408.6453,0.0022804590891754143
189.0,0.81394786,4.6695805,1517.7092,0.19081844,61.665966,0.0,2.9131868,2411.0437,0.0016941308247472343
190.0,15.892692,0.3443532,1562.0267,0.7448974,61.260307,0.0,0.43683654,2431.9753,0.03307865261456532
191.0,2.3606374,0.121898,1530.1215,2.5267787,62.203896,0.0,11.991497,2395.4302,0.004913372394829339
192.0,6.9472933,0.47695005,1525.0255,2.7714968,61.297256,0.0,0.0,2422.1184,0.01445992277674374
193.0,5.11655,8.291542,1523.1486,1.8167049,61.737614,0.0,0.40936917,2397.631,0.010649459964663455
194.0,11.67215,1.2448039,1506.8015,3.5487816,62.48325,0.0,0.0,2398.3396,0.02429412178209919
195.0,17.85857,5.700388,1540.1484,0.0,60.690277,0.0,1.3126104,2408.9424,0.037170384605577825
196.0,2.8585808,0.08238084,1525.0074,0.5458196,60.72091,0.0,0.026339276,2428.3774,0.0059497793108812085
197.0,10.227112,5.7599816,1507.2434,1.1488986,60.664463,0.0,1.096413,2430.6904,0.021286456728681045
198.0,7.5570607,7.361875,1521.6704,0.15263358,61.62821,0.0,7.233075,2401.996,0.015729078310585353
